Step,mass_grown,mass_burnt,trees_grown,trees_burnt,trees_count,trees_mass,ashes_count,ashes_mass,empty_count
100,85499.025,94.063,831,8,85835,1569751.433,4165,20659.824,0
101,86225.305,0,738,0,86573,1655976.738,3427,15081.095,0
102,86875.413,336.942,639,17,87195,1742515.21,2805,11154.512,0
103,87420.664,5317.294,528,250,87473,1824618.579,2527,12793.654,0
104,87771.818,1276.37,450,60,87863,1911114.027,2137,9973.663,0
105,88105.267,0,423,0,88286,1999219.293,1714,6795.897,0
106,88442.402,0,348,0,88634,2087661.696,1366,4708.687,0
107,88732.639,0,265,0,88899,2176394.334,1101,3350.069,0
108,88975.587,32.183,219,3,89115,2265337.738,885,2354.743,0
109,89167.16,66.029,200,3,89312,2354438.869,688,1709.254,0
110,89348.159,1637253.089,154,54935,34531,806533.939,55469,1474740.674,0
111,87507.892,0,16732,0,51263,894041.831,38737,850474.579,0
112,78164.511,1.306,10451,1,61713,972205.036,28287,523314.697,0
113,76544.178,11.202,6898,2,68609,1048738.012,21391,337512.711,0
114,77213.009,237795.168,4763,8560,64812,888155.853,25188,440341.007,0
115,77035.93,0,5795,0,70607,965191.782,19393,286291.54,0
116,77719.047,0,4122,0,74729,1042910.83,15271,193653.96,0
117,79072.847,80.765,3007,8,77728,1121902.911,12272,135266.629,0
118,80630.344,0,2346,0,80074,1202533.255,9926,95618.873,0
119,82089.631,0,1888,0,81962,1284622.886,8038,67916.303,0
120,83303.391,7.427,1444,1,83405,1367918.85,6595,49058.842,0
121,84390.109,0,1155,0,84560,1452308.958,5440,35286.978,0
122,85238.285,28.761,961,3,85518,1537518.482,4482,25679.604,0
123,85966.58,0,739,0,86257,1623485.062,3743,19074.428,0
124,86595.671,181.353,644,15,86886,1709899.38,3114,14282.16,0
125,87158.556,0,578,0,87464,1797057.936,2536,10400.941,0
126,87668.442,2.287,467,1,87930,1884724.091,2070,7522.925,0
127,88085.566,0,411,0,88341,1972809.657,1659,5370.535,0
128,88445.517,0,310,0,88651,2061255.174,1349,3892.83,0
129,88726.97,31.758,277,2,88926,2149950.386,1074,2848.397,0
130,88982.734,610788.849,212,18410,70728,1628144.271,19272,551762.917,0
131,93161.796,166712.665,6467,6523,70672,1554593.402,19328,444723.856,0
132,85502.52,0,5462,0,76134,1640095.922,13866,266776.789,0
133,84072.936,0,3535,0,79669,1724168.858,10331,168648.687,0
134,84219.059,913474.251,2387,31030,51026,894913.666,38974,932960.116,0
135,82580.888,0,11041,0,62067,977494.554,27933,555670.112,0
136,78436.092,0,7020,0,69087,1055930.645,20913,352781.276,0
137,78488.265,0,4848,0,73935,1134418.911,16065,232891.759,0
138,79485.387,0,3335,0,77270,1213904.298,12730,159649.099,0
139,80889.656,122089.006,2549,4075,75744,1172704.949,14256,220987.387,0
140,81817.459,7.292,3139,1,78882,1254515.115,11118,144234.084,0
141,82387.383,0,2256,0,81138,1336902.498,8862,98262.226,0
142,83328.378,6.972,1713,1,82850,1420223.905,7150,68728.872,0
143,84327.272,0,1338,0,84188,1504551.177,5812,48560.538,0
144,85213.22,0,1088,0,85276,1589764.397,4724,34477.503,0
145,85931.223,254.817,820,20,86076,1675440.804,3924,25362.076,0
146,86543.379,0,699,0,86775,1761984.183,3225,18619.459,0
147,87107.812,0,565,0,87340,1849091.994,2660,13762.207,0
148,87615.057,14.133,481,1,87820,1936692.919,2180,9923.193,0
149,88019.129,7892.084,411,378,87853,2016819.963,2147,14241.587,0
150,88176.461,211.621,416,13,88256,2104784.803,1744,10096.742,0
151,88490.095,251.456,338,18,88576,2193023.441,1424,7206.525,0
152,88758.932,0,285,0,88861,2281782.373,1139,4839.488,0
153,88956.507,1438543.601,218,44399,44680,932195.279,45320,1298185.214,0
154,93374.108,0,14576,0,59256,1025569.387,30744,730119.717,0
155,83271.802,0,8802,0,68058,1108841.189,21942,440965.531,0
156,81288.987,9289.118,5713,390,73381,1180841.057,16619,286150.305,0
157,80907.349,14.151,3842,3,77220,1261734.255,12780,189810.869,0
158,82068.859,568274.289,2831,21334,58717,775528.825,31283,638636.916,0
159,78418.69,1102.612,8064,49,66732,852844.903,23268,398450.361,0
160,77301.874,8.41,5301,2,72031,930138.367,17969,263484.03,0
161,78597.064,18.04,3935,2,75964,1008717.392,14036,178057.289,0
162,79845.036,0,2762,0,78726,1088562.428,11274,125322.233,0
163,81390.763,0,2163,0,80889,1169953.191,9111,88807.143,0
164,82596.233,27.99,1642,4,82527,1252521.434,7473,64586.524,0
165,83806.922,50.292,1375,5,83897,1336278.064,6103,46653.833,0
166,84810.144,19.415,1109,2,85004,1421068.793,4996,33787.626,0
167,85657.356,0,926,0,85930,1506726.15,4070,24528.656,0
168,86385.393,0,719,0,86649,1593111.542,3351,17977.258,0
169,86980.235,178.642,607,13,87243,1679913.136,2757,13359.191,0
170,87474.782,181576.918,484,6181,81546,1585811,8454,173356.46,0
171,87053.554,0,2224,0,83770,1672864.554,6230,106452.825,0
172,86955.809,20008.768,1543,993,84320,1739811.595,5680,85143.15,0
173,86537.635,0,1260,0,85580,1826349.231,4420,56670.117,0
174,86984.361,0,941,0,86521,1913333.592,3479,38363.855,0
175,87404.771,8386.041,694,361,86854,1992352.322,3146,34120.968,0
176,87621.057,957386.792,645,33434,54065,1122586.588,35935,885453.468,0
177,84135.665,0,10348,0,64413,1206722.253,25587,526272.134,0
178,80167.9,420154.77,6617,15547,55483,866735.382,34517,709990.115,0
179,76638.233,170.645,8893,7,64369,943202.971,25631,448747.583,0
180,76357.158,23.178,5985,1,70353,1019536.951,19647,296000.258,0
181,77652.02,9.922,4284,2,74635,1097179.05,15365,200717.979,0
182,79115.691,19.328,3040,1,77674,1176275.413,12326,140337.361,0
183,80645.784,0,2344,0,80018,1256921.196,9982,99557.571,0
184,82113.531,177.993,1893,16,81895,1338856.734,8105,70902.228,0
185,83227.341,489.785,1429,28,83296,1421594.29,6704,52261.743,0
186,84267.095,0,1165,0,84461,1505861.385,5539,38295.714,0
187,85217.618,7158.606,1019,309,85171,1583920.397,4829,34099.326,0
188,85865.856,0,844,0,86015,1669786.253,3985,24435.685,0
189,86466.396,54.244,701,5,86711,1756198.404,3289,17978.376,0
190,87045.943,0,563,0,87274,1843244.348,2726,13166.049,0
191,87535.782,10.188,492,2,87764,1930769.942,2236,9502.571,0
192,87951.163,3.611,432,1,88195,2018717.495,1805,6871.094,0
193,88311.258,419404.96,311,12216,76290,1687623.793,13710,382602.126,0
194,90589.543,40.217,4368,4,80654,1778173.118,9346,215682.226,0
195,87745.528,134.894,2669,9,83314,1865783.753,6686,130411.657,0
196,87237.673,0,1773,0,85087,1953021.426,4913,82057.433,0
197,87298.42,1108503.599,1196,36732,49551,931816.247,40449,1051602.145,0
198,86586.06,0,12135,0,61686,1018402.308,28314,613126.386,0
199,80881.498,3.664,7651,1,69336,1099280.142,20664,379057.563,0
200,79889.116,0,5020,0,74356,1179169.258,15644,246173.764,0
201,80595.866,252453.83,3469,9406,68419,1007311.294,21581,392606.038,0
202,79430.442,0,5123,0,73542,1086741.736,16458,254242.46,0
203,79860.603,0,3618,0,77160,1166602.339,12840,171950.787,0
204,81069.662,160.508,2604,15,79749,1247511.493,10251,119713.208,0
205,82382.32,0,2007,0,81756,1329893.813,8244,84042.007,0
206,83490.546,0,1514,0,83270,1413384.359,6730,60026.893,0
207,84516.51,2.443,1264,1,84533,1497898.426,5467,42807.813,0
208,85332.148,490389.426,966,15870,69629,1092841.148,20371,472685.183,0
209,85680.646,0,5682,0,75311,1178521.793,14689,280951.853,0
210,83737.749,0,3687,0,78998,1262259.542,11002,177015.929,0
211,83814.31,0,2543,0,81541,1346073.853,8459,115967.541,0
212,84403.389,925.668,1817,56,83302,1429551.574,6698,79442.388,0
213,85233.717,5.067,1406,1,84707,1514780.224,5293,54117.256,0
214,85864.415,0,1032,0,85739,1600644.639,4261,38288.795,0
215,86525.584,0,794,0,86533,1687170.223,3467,27380.661,0
216,87111.486,0,681,0,87214,1774281.709,2786,19436.223,0
217,87619.828,18195.9,544,729,87029,1843705.636,2971,30216.462,0
218,87773.343,0,598,0,87627,1931478.979,2373,20495.728,0
219,88097.361,0,468,0,88095,2019576.341,1905,14212.902,0
220,88421.291,1372512.861,390,48494,39991,735484.77,50009,1245116.57,0
221,81829.614,68.307,14454,4,54441,817246.078,35559,744118.861,0
222,76089.645,9.077,9124,1,63564,893326.645,26436,474877.34,0
223,76170.323,8.638,6238,1,69801,969488.331,20199,313940.47,0
224,77403.151,0,4409,0,74210,1046891.482,15790,214127.063,0
225,78894.748,225343.569,3148,8596,68762,900442.661,21238,353360.837,0
226,78508.285,1.222,4895,1,73656,978949.724,16344,230309.293,0
227,79389.244,46.299,3487,6,77137,1058292.669,12863,155720.834,0
228,80716.301,17.577,2606,4,79739,1138991.393,10261,107950.865,0
229,82034.748,0,1998,0,81737,1221026.141,8263,76494.046,0
230,83248.873,5.861,1497,1,83233,1304269.153,6767,55243.055,0
231,84341.208,25086.151,1218,1078,83373,1363524.21,6627,62322.416,0
232,84738.47,0,1235,0,84608,1448262.679,5392,43800.947,0
233,85609.158,0,1043,0,85651,1533871.837,4349,30410.434,0
234,86247.832,0,803,0,86454,1620119.668,3546,21997.906,0
235,86890.875,0,658,0,87112,1707010.544,2888,15866.236,0
236,87425.806,0,538,0,87650,1794436.35,2350,11455.359,0
237,87878.581,4847.901,444,206,87888,1877467.03,2112,12615.706,0
238,88199.561,0,422,0,88310,1965666.59,1690,8550.089,0
239,88512.759,719917.464,352,24345,64317,1334261.885,25683,653795.968,0
240,86352.035,32092.049,7578,1458,70437,1388521.872,19563,418983.898,0
241,82793.682,16782.155,5096,728,74805,1454533.399,15195,280979.309,0
242,82711.916,145335.62,3775,5754,72826,1391909.695,17174,312521.192,0
243,81527.048,0,4113,0,76939,1473436.743,13061,202959.639,0
244,82109.589,632536.655,2924,23373,56490,923009.677,33510,705411.366,0
245,78116.041,5.522,8685,1,65174,1001120.196,24826,440240.83,0
246,77169.946,102.676,5814,7,70981,1078187.466,19019,288345.641,0
247,78188.535,0,4139,0,75120,1156376,14880,194643.266,0
248,79500.435,0,2938,0,78058,1235876.435,11942,135755.028,0
249,80921.872,6.783,2285,1,80342,1316791.524,9658,96410.783,0
250,82310.072,0,1796,0,82138,1399101.596,7862,69057.055,0
251,83486.136,0,1402,0,83540,1482587.732,6460,50018.122,0
252,84477.21,35.41,1130,3,84667,1567029.533,5333,36613.286,0
253,85376.622,9.158,984,1,85650,1652396.998,4350,26573.599,0
254,86146.028,977.645,779,46,86383,1737565.38,3617,20331.872,0
255,86798.067,24.082,684,2,87065,1824339.365,2935,14584.753,0
256,87361.172,0,547,0,87612,1911700.538,2388,10460.727,0
257,87811.76,0,432,0,88044,1999512.298,1956,7616.814,0
258,88178.238,0,337,0,88381,2087690.536,1619,5646.987,0
259,88489.278,381953.436,305,11482,77204,1794226.378,12796,347865.881,0
260,90206.916,5959.902,4032,272,80964,1878473.392,9036,201416.958,0
261,87467.76,6.14,2482,1,83445,1965935.012,6555,122746.948,0
262,86902.582,0,1607,0,85052,2052837.594,4948,79354.014,0
263,87212.966,1305316.202,1188,41932,44308,834734.358,45692,1226754.499,0
264,89001.188,0,14114,0,58422,923735.546,31578,701840.355,0
265,81329.03,0,8818,0,67240,1005064.576,22760,425493.047,0
266,79206.574,0,5559,0,72799,1084271.151,17201,275244.573,0
267,79795.937,0,3856,0,76655,1164067.088,13345,184747.684,0
268,81078.583,0,2843,0,79498,1245145.671,10502,126460.667,0
269,82339.178,61.421,2098,7,81589,1327423.428,8411,88299.277,0
270,83444.167,0,1584,0,83173,1410867.595,6827,62772.846,0
271,84446.304,0,1270,0,84443,1495313.899,5557,45035.824,0
272,85305.164,0,963,0,85406,1580619.064,4594,32772.763,0
273,86019.488,0,819,0,86225,1666638.552,3775,23974.091,0
274,86659.519,55194.389,664,1839,85050,1698103.682,4950,67340.965,0
275,87066.569,0,1070,0,86120,1785170.251,3880,42457.743,0
276,87295.286,0,816,0,86936,1872465.537,3064,27634.395,0
277,87655.676,891809.418,648,25982,61602,1068311.796,28398,821022.348,0
278,92027.504,0,9134,0,70736,1160339.3,19264,465090.573,0
279,86290.9,9.359,5638,1,76373,1246620.841,13627,278595.84,0
280,84458.533,1027.646,3531,58,79846,1330051.728,10154,178891.344,0
281,84510.153,220.65,2419,16,82249,1414341.231,7751,119223.414,0
282,85286.804,0,1779,0,84028,1499628.035,5972,79960.84,0
