Step,mass_grown,mass_burnt,trees_grown,trees_burnt,trees_count,trees_mass,ashes_count,ashes_mass,empty_count
100,74504.548,0,4789,0,71380,643547.247,18608,243443.554,12
101,76559.26,0,3561,0,74941,720106.507,15049,172485.858,10
102,78244.05,0,2664,0,77605,798350.557,12385,125509.82,10
103,79976.823,10.631,2158,2,79761,878316.749,10229,91621.999,10
104,81440.999,0,1722,0,81483,959757.748,8508,67339.81,9
105,82699.665,0,1423,0,82906,1042457.414,7085,49655.839,9
106,83807.653,0,1215,0,84121,1126265.066,5872,36575.382,7
107,84774.854,3140.259,993,146,84968,1207899.66,5025,29859.393,7
108,85506.905,0,851,0,85819,1293406.566,4174,22023.305,7
109,86252.39,0,755,0,86574,1379658.956,3419,15920.466,7
110,86872.664,23.723,617,2,87189,1466507.897,2804,11661.793,7
111,87424.559,0,524,0,87713,1553932.456,2281,8375.582,6
112,87870.983,0,400,0,88113,1641803.439,1881,6116.174,6
113,88226.785,112.18,341,7,88447,1729918.045,1548,4581.452,5
114,88533.588,981.566,282,48,88681,1817470.067,1315,4227.422,4
115,88771.97,0,237,0,88918,1906242.036,1079,2985.951,3
116,88982.637,8877.316,214,410,88722,1986347.357,1276,10095.208,2
117,88939.82,7004.308,244,314,88652,2068282.869,1346,13429.183,2
118,88985.961,310293.956,312,10918,78046,1846974.874,11953,288345.176,1
119,87263.06,1333649.64,3281,53049,28278,600588.294,61721,1376841.791,1
120,68627.699,0,15927,0,44205,669215.993,45794,876010.325,1
121,66452.31,6520.62,10425,246,54384,729147.683,35615,594052.062,1
122,67979.038,0,7422,0,61806,797126.721,28193,412291.512,1
123,70968.045,5570.611,5738,228,67316,862524.155,22683,293617.51,1
124,73249.33,0,4253,0,71569,935773.485,18430,210855.788,1
125,75623.122,0,3268,0,74837,1011396.607,15162,153283.111,1
126,77598.493,12523.055,2533,475,76895,1076472.044,13104,124372.117,1
127,79300.951,18.822,2251,2,79144,1155754.174,10855,90298.282,1
128,80727.719,0,1742,0,80886,1236481.893,9113,67014.985,1
129,82099.638,3358.617,1538,149,82275,1315222.914,7724,52413.496,1
130,83231.654,0,1294,0,83569,1398454.568,6431,38562.264,0
131,84291.447,0,1105,0,84674,1482746.014,5326,28204.017,0
132,85209.966,644.826,915,33,85556,1567311.155,4444,21140.267,0
