Step,mass_grown,mass_burnt,trees_grown,trees_burnt,trees_count,trees_mass,ashes_count,ashes_mass,empty_count
100,21515.122,19043.388,224,255,11816,865910.004,13106,17571.889,65078
101,24129.722,12178.289,248,168,11896,877861.437,13089,11377.013,65015
102,20148.754,16001.273,201,222,11875,882008.918,13176,14644.207,64949
103,22366.551,13594.797,227,189,11913,890780.673,13206,12559.232,64881
104,20837.819,19059.717,203,261,11855,892558.775,13336,17440.577,64809
105,23889.533,19098.233,250,254,11851,897350.074,13409,17623.075,64740
106,25563.25,17202.947,260,242,11869,905710.378,13451,15750.265,64680
107,22971.566,13871.691,247,189,11927,914810.253,13460,12853.375,64613
108,21694.861,16330.641,204,224,11907,920174.473,13529,14920.263,64564
109,22645.197,18314.835,205,236,11876,924504.835,13609,16805.023,64515
110,24775.412,19110.571,248,242,11882,930169.676,13659,17474.304,64459
111,24837.254,19775.034,233,246,11869,935231.896,13722,18131.377,64409
112,25597.556,20947.018,270,274,11865,939882.435,13798,19170.059,64337
113,26277.652,18332.061,285,235,11915,947828.026,13819,16846.121,64266
114,24764.016,18032.396,246,230,11931,954559.646,13867,16513.434,64202
115,25047.553,19311.165,243,252,11922,960296.034,13942,17600.997,64136
116,25191.717,14227.523,251,190,11983,971260.227,13949,13118.347,64068
117,21320.015,18964.665,193,251,11925,973615.576,14065,17364.032,64010
118,25425.833,19363.357,244,239,11930,979678.053,14114,17690.443,63956
119,25969.643,20323.965,268,252,11946,985323.731,14167,18530.43,63887
120,26428.076,17577.646,269,208,12007,994174.161,14180,16093.694,63813
121,24961.706,16138.804,235,193,12049,1002997.063,14203,14720.992,63748
122,23323.722,17436.949,213,216,12046,1008883.835,14263,15936.274,63691
123,24700.171,15161.454,249,191,12104,1018422.552,14284,13860.584,63612
124,23047.654,18935.555,211,231,12084,1022534.651,14364,17235.541,63552
125,26149.225,21576.902,257,259,12082,1027106.973,14432,19608.519,63486
126,27989.143,19992.346,263,231,12114,1035103.77,14454,18215.725,63432
127,26607.825,21048.53,247,230,12131,1040663.065,14501,19182.269,63368
128,27731.179,18186.666,268,220,12179,1050207.578,14515,16582.651,63306
129,25700.779,19255.288,224,224,12179,1056653.068,14565,17510.493,63256
130,25768.122,21714.432,258,250,12187,1060706.758,14633,19812.802,63180
131,27868.25,19893.642,273,228,12232,1068681.366,14663,18173.53,63105
132,26466.38,18804.309,252,214,12270,1076343.437,14696,17187.633,63034
133,25718.468,23103.577,242,255,12257,1078958.328,14777,21044.597,62966
134,29664.064,18525.369,259,216,12300,1090097.023,14786,16871.951,62914
135,25298.144,23320.523,238,269,12269,1092074.644,14896,21257.872,62835
136,29432.009,21235.693,279,247,12301,1100270.96,14927,19361.91,62772
137,27502.582,21105.067,250,249,12302,1106668.474,14988,19269.465,62710
138,27558.792,19565.64,262,217,12347,1114661.626,15022,17869.935,62631
139,27035.35,20782.353,248,231,12364,1120914.623,15076,18886.628,62560
140,27613.953,22002.768,239,249,12354,1126525.808,15145,20023.27,62501
141,28930.985,17312.105,270,190,12434,1138144.687,15124,15771.335,62442
142,25344.712,22284.533,219,261,12392,1141204.866,15229,20223.023,62379
143,28677.416,22636.414,261,262,12391,1147245.869,15293,20614.584,62316
144,28929.532,22561.868,273,255,12409,1153613.533,15343,20559.858,62248
145,28929.952,25664.918,264,285,12388,1156878.567,15426,23348.084,62186
146,31186.56,21130.951,270,235,12423,1166934.175,15436,19293.936,62141
147,27703.025,20533.926,246,228,12441,1174103.275,15482,18739.479,62077
148,27427.581,23713.03,239,262,12418,1177817.826,15560,21577.055,62022
149,29915.398,24591.238,277,262,12433,1183141.986,15612,22376.442,61955
150,30526.625,21317.69,294,229,12498,1192350.921,15631,19445.829,61871
151,28726.813,20483.892,265,221,12542,1200593.842,15656,18606.329,61802
152,27904.335,20702.297,240,231,12551,1207795.881,15701,18812.441,61748
153,27815.497,24098.424,266,256,12561,1211512.954,15761,21903.326,61678
154,30641.761,19401.304,283,215,12629,1222753.411,15770,17673.977,61601
155,27340.691,20651.058,252,228,12653,1229443.044,15815,18746.717,61532
156,27934.268,27969.765,250,300,12603,1229407.547,15930,25377.319,61467
157,34017.997,24434.519,310,264,12649,1238991.025,15944,22183.8,61407
158,30728.9,28900.319,268,286,12631,1240819.606,16019,26249.567,61350
159,34947.832,22563.268,301,235,12697,1253204.17,16009,20485.694,61294
160,29760.347,20539.552,260,215,12742,1262424.965,16029,18667.127,61229
161,28216.279,23675.881,241,255,12728,1266965.363,16106,21482.419,61166
162,30801.206,22770.701,277,252,12753,1274995.869,16152,20664.516,61095
163,29304.29,23037.131,243,251,12745,1281263.027,16221,20987.838,61034
164,29761.801,22749.419,268,225,12788,1288275.409,16246,20712.283,60966
165,30050.514,24282.854,256,246,12798,1294043.069,16294,22036.184,60908
166,31502.122,19408.242,289,210,12877,1306136.949,16282,17624.911,60841
167,27177.286,23633.607,237,246,12868,1309680.628,16354,21470.15,60778
168,30432.714,25284.322,243,248,12863,1314829.019,16410,22978.27,60727
169,32083.922,25773.652,271,257,12877,1321139.29,16453,23388.567,60670
170,32228.546,27047.578,275,292,12860,1326320.258,16530,24562.06,60610
171,33107.176,26702.047,296,284,12872,1332725.387,16580,24271.251,60548
172,32639.11,30504.901,273,304,12841,1334859.596,16663,27715.524,60496
173,35550.459,23434.9,301,233,12909,1346975.155,16660,21373.134,60431
174,30879.209,21199.173,264,208,12965,1356655.191,16669,19249.213,60366
175,29058.694,25029.387,238,234,12969,1360684.498,16726,22689.626,60305
176,31914.793,24375.155,265,242,12992,1368224.136,16762,22130.959,60246
177,31628.235,20590.619,253,199,13046,1379261.752,16760,18702.071,60194
178,29049.432,30311.401,228,305,12969,1377999.783,16888,27397.642,60143
179,35920.997,33727.725,293,312,12950,1380193.055,16966,30577.05,60084
180,38614.465,26496.857,321,256,13015,1392310.663,16961,24088.936,60024
181,33390.345,31023.962,282,287,13010,1394677.046,17024,28097.865,59966
182,36664.585,26987.932,290,259,13041,1404353.699,17037,24502.861,59922
183,33641.54,23611.601,287,232,13096,1414383.639,17051,21443.667,59853
184,31208.549,24015.922,247,233,13110,1421576.265,17084,21773.636,59806
185,31346.623,26994.29,264,269,13105,1425928.599,17153,24475.266,59742
186,32790.417,25233.898,267,227,13145,1433485.118,17177,23000.433,59678
187,32631.339,32276.046,273,302,13116,1433840.411,17276,29213.669,59608
188,37895.545,26867.595,295,256,13155,1444868.361,17280,24381.698,59565
189,33472.657,28606.849,264,252,13167,1449734.169,17322,25956.15,59511
190,35228.579,28673.856,288,273,13182,1456288.893,17368,25982.799,59450
191,34702.783,24266.622,298,232,13248,1466725.054,17374,22080.153,59378
192,31937.057,22744.543,251,224,13275,1475917.568,17397,20629.431,59328
193,30619.134,26605.541,226,248,13253,1479931.161,17467,24105.915,59280
194,33674.753,21140.139,272,204,13321,1492465.774,17461,19197.855,59218
195,28997.865,31392.431,229,287,13263,1490071.209,17571,28456.544,59166
196,37354.688,32588.177,294,309,13248,1494837.72,17636,29530.826,59116
197,38063.672,22638.972,315,217,13346,1510262.421,17600,20605.86,59054
198,30943.743,33640.779,250,307,13289,1507565.384,17710,30409.76,59001
199,39189.301,28362.541,324,264,13349,1518392.144,17711,25725.452,58940
200,34839.07,23904.548,282,221,13410,1529326.666,17720,21730.186,58870
