Step,mass_grown,mass_burnt,trees_grown,trees_burnt,trees_count,trees_mass,ashes_count,ashes_mass,empty_count
100,4100.026,4439.733,31,53,3923,280755.294,14138,3023.253,71939
101,4071.044,3203.101,31,42,3912,281623.236,14149,2924.195,71939
102,4041.477,3411.437,25,53,3884,282253.276,14177,2868.442,71939
103,4043.523,4002.923,26,54,3856,282293.876,14205,2848.368,71939
104,4027.071,2327.403,30,30,3856,283993.544,14207,2655.2,71937
105,3993.105,3466.879,25,42,3839,284519.77,14224,2624.263,71937
106,3938.841,4854.787,23,64,3798,283603.825,14265,2770.474,71937
107,4002.665,3975.377,38,58,3778,283631.112,14287,2724.299,71935
108,3946.507,3647.798,31,45,3764,283929.821,14302,2679.142,71934
109,3962.227,3356.778,30,48,3746,284535.27,14320,2578.678,71934
110,3953.779,3999.528,30,51,3725,284489.521,14341,2542.984,71934
111,3848.032,2416.073,18,32,3711,285921.479,14355,2425.262,71934
112,3891.613,4649.192,32,53,3690,285163.9,14377,2499.042,71933
113,3832.541,3452.59,26,45,3671,285543.852,14397,2477.855,71932
114,3834.901,3184.97,26,37,3660,286193.783,14408,2410.666,71932
115,3800.279,4560.979,25,61,3624,285433.083,14447,2510.418,71929
116,3795.888,4104.459,31,45,3610,285124.512,14462,2528.935,71928
117,3782.558,3463.477,33,42,3601,285443.592,14474,2482.831,71925
118,3725.612,3474.868,21,47,3575,285694.336,14500,2478.423,71925
119,3842.398,2943.115,41,39,3577,286593.618,14499,2298.495,71924
120,3660.633,2608.403,17,33,3561,287645.848,14516,2262.853,71923
121,3672.183,4065.072,23,51,3533,287252.959,14545,2354.892,71922
122,3655.698,5776.104,24,67,3490,285132.553,14589,2598.315,71921
123,3738.25,3122.175,36,41,3485,285748.627,14594,2438.451,71921
124,3713.382,4309.87,31,48,3468,285152.139,14611,2428.211,71921
125,3603.659,3751.425,25,51,3442,285004.373,14637,2449.873,71921
126,3655.529,3617.894,34,40,3436,285042.008,14645,2387.146,71919
127,3589.651,4462.717,23,52,3407,284168.942,14676,2464.052,71917
128,3556.294,4449.731,23,46,3384,283275.505,14699,2536.326,71917
129,3579.492,2650.171,33,34,3383,284204.826,14703,2385.219,71914
130,3516.557,3728.896,19,47,3355,283992.486,14732,2405.03,71913
131,3510.711,3705.08,23,45,3333,283798.117,14754,2402.324,71913
132,3526.167,3607.506,28,48,3313,283716.779,14774,2357.675,71913
133,3515.509,3047.465,28,36,3305,284184.823,14782,2252.145,71913
134,3450.537,4309.259,21,50,3276,283326.101,14812,2333.319,71912
135,3505.274,2974.608,29,38,3267,283856.767,14822,2197.174,71911
136,3368.755,2979.291,14,39,3242,284246.231,14847,2187.631,71911
137,3373.723,3171.067,22,40,3224,284448.887,14865,2176.252,71911
138,3411.976,3555.315,31,45,3210,284305.548,14880,2157.182,71910
139,3281.95,5087.299,16,56,3170,282500.199,14922,2394.244,71908
140,3370.2,2282.421,27,25,3172,283587.978,14920,2209.862,71908
141,3305.61,3145.442,22,35,3159,283748.146,14935,2191.81,71906
142,3327.66,3820.992,27,43,3143,283254.814,14951,2213.068,71906
143,3332.813,3288.559,24,34,3133,283299.069,14962,2154.804,71905
144,3306.389,1888.376,30,26,3137,284717.081,14958,1984.772,71905
145,3309.701,3495.668,29,37,3129,284531.114,14968,1992.161,71903
146,3264.963,3386.658,20,35,3114,284409.419,14984,2015.648,71902
147,3217.378,2693.589,15,29,3100,284933.208,14998,1995.064,71902
148,3195.7,3399.394,14,37,3077,284729.514,15023,2053.796,71900
149,3167.334,3929.592,14,44,3047,283967.257,15054,2165.042,71899
150,3231.821,1953.418,25,23,3049,285245.66,15053,1984.058,71898
151,3159.037,2895.818,19,33,3035,285508.878,15068,1984.198,71897
152,3153.097,3494.105,16,41,3010,285167.87,15093,2033.091,71897
153,3165.399,3105.818,20,34,2996,285227.451,15108,2004.965,71896
154,3144.818,3361.969,18,31,2983,285010.301,15121,2009.847,71896
155,3095.163,5120.583,16,53,2946,282984.881,15158,2224.758,71896
156,3092.333,4099.271,19,44,2921,281977.943,15183,2284.876,71896
157,3092.778,2865.777,24,30,2915,282204.943,15190,2195.188,71895
158,3040.305,3494.695,18,30,2903,281750.554,15204,2217.834,71893
159,3103.103,3234.294,25,30,2898,281619.363,15209,2144.377,71893
160,3075.592,3478.676,19,41,2876,281216.279,15232,2119.215,71892
161,3097.658,3481.581,24,36,2864,280832.356,15244,2057.794,71892
162,2974.638,2533.803,14,28,2850,281273.19,15259,2008.757,71891
163,2954.047,3132.572,14,26,2838,281094.665,15271,2031.091,71891
164,3013.296,2985.254,19,31,2826,281122.707,15283,1970.211,71891
165,2977.728,3730.763,18,40,2804,280369.672,15305,2012.539,71891
166,2918.103,2133.156,18,25,2797,281154.619,15314,1928.498,71889
167,2908.112,4370.92,13,39,2771,279691.811,15340,2074.629,71889
168,2975.77,2726.911,24,29,2766,279940.67,15347,1959.087,71887
