Step,mass_grown,mass_burnt,trees_grown,trees_burnt,trees_count,trees_mass,ashes_count,ashes_mass,empty_count
100,24933,0,81,0,24933,2219366.763,3,3.353,65064
101,25005.334,0,72,0,25005,2244372.096,2,0.016,64993
102,25083,0,78,0,25083,2269455.096,2,0.014,64915
103,25153,0,70,0,25153,2294608.096,2,0.013,64845
104,25223,340,70,5,25218,2319491.096,7,306.012,64775
105,25315.62,0,69,0,25287,2344806.716,4,17.83,64709
106,25351,0,64,0,25351,2370157.716,4,16.047,64645
107,25422.312,0,70,0,25421,2395580.029,3,2.633,64576
108,25482,0,61,0,25482,2421062.029,3,2.37,64515
109,25546,0,64,0,25546,2446608.029,3,2.133,64451
110,25605,0,59,0,25605,2472213.029,3,1.919,64392
111,25670,0,65,0,25670,2497883.029,3,1.727,64327
112,25719,0,49,0,25719,2523602.029,3,1.555,64278
113,25783,363,64,4,25779,2549022.029,7,328.099,64214
114,25877.68,0,67,0,25846,2574899.709,4,10.169,64150
115,25905,255,59,2,25903,2600549.709,6,238.652,64091
116,26001.95,118,76,1,25978,2626433.659,5,114.437,64017
117,26055.62,0,67,0,26045,2652489.279,4,7.413,63951
118,26117,0,72,0,26117,2678606.279,4,6.672,63879
119,26192,0,75,0,26192,2704798.279,4,6.005,63804
120,26253,0,61,0,26253,2731051.279,4,5.404,63743
121,26310,0,57,0,26310,2757361.279,4,4.864,63686
122,26369,0,59,0,26369,2783730.279,4,4.378,63627
123,26437,0,68,0,26437,2810167.279,4,3.94,63559
124,26489,435,52,5,26484,2836221.279,9,395.046,63507
125,26588.4,0,72,0,26556,2862809.679,6,63.941,63438
126,26609,0,53,0,26609,2889418.679,6,57.547,63385
127,26674,0,65,0,26674,2916092.679,6,51.792,63320
128,26739,0,65,0,26739,2942831.679,6,46.613,63255
129,26796,749,57,8,26788,2968878.679,14,716.052,63198
130,26914.63,0,72,0,26860,2995793.309,9,152.777,63131
131,26931.107,137,62,1,26921,3022587.415,8,178.838,63071
132,26993.33,0,60,0,26981,3049580.745,7,49.984,63012
133,27034,0,53,0,27034,3076614.745,7,44.986,62959
134,27099.831,2805,64,24,27074,3100909.576,30,2548.513,62896
135,27413.87,716,93,8,27159,3127607.446,16,716.231,62825
136,27292.06,0,76,0,27235,3154899.506,11,131.068,62754
137,27298.645,5104,60,45,27250,3177094.151,55,4678.756,62695
138,27783.231,0,97,0,27347,3204877.382,17,284.803,62636
139,27404.165,2943,55,24,27378,3229338.547,40,2885.536,62582
140,27734.556,0,87,0,27465,3257073.103,15,170.976,62520
141,27543.915,2442,72,20,27517,3282175.018,33,2289.443,62450
142,27823.01,0,91,0,27608,3309998.028,15,125.409,62377
143,27667,0,59,0,27667,3337665.028,15,112.868,62318
144,27736.556,0,66,0,27733,3365401.584,13,69.578,62254
145,27783.593,360,49,4,27778,3392825.177,16,372.285,62206
146,27868.7,0,70,0,27848,3420693.877,14,148.757,62138
147,27920.078,0,66,0,27914,3448613.955,12,79.177,62074
148,27995.666,0,77,0,27991,3476609.621,11,29.269,61998
149,28062,0,71,0,28062,3504671.621,11,26.342,61927
150,28122,0,60,0,28122,3532793.621,11,23.708,61867
151,28169,0,47,0,28169,3560962.621,11,21.337,61820
152,28236,0,67,0,28236,3589198.621,11,19.203,61753
153,28291,0,55,0,28291,3617489.621,11,17.283,61698
154,28343,0,52,0,28343,3645832.621,11,15.555,61646
155,28402,0,59,0,28402,3674234.621,11,13.999,61587
156,28471,0,69,0,28471,3702705.621,11,12.599,61518
157,28529.106,836,58,7,28522,3730398.727,17,762.782,61461
158,28665,3575,71,26,28567,3755488.727,38,3256.004,61395
159,28968.35,0,85,0,28652,3784457.077,14,83.254,61334
160,28699.71,0,42,0,28694,3813156.788,12,23.534,61294
161,28756.875,0,62,0,28756,3841913.662,11,13.307,61233
162,28823,0,67,0,28823,3870736.662,11,11.976,61166
163,28879,0,56,0,28879,3899615.662,11,10.779,61110
164,28938.204,2234,59,16,28922,3926319.866,26,2018.469,61052
165,29182.75,0,74,0,28996,3955502.616,13,135.872,60991
166,29055.832,0,54,0,29050,3984558.448,12,69.797,60938
167,29118.301,7202,64,52,29062,4006474.749,63,6505.907,60875
168,29797.12,0,108,0,29170,4036271.869,17,211.237,60813
169,29245.175,0,61,0,29231,4065517.044,14,62.538,60755
170,29287.841,0,52,0,29283,4094804.885,11,12.711,60706
171,29346,2312,63,15,29331,4121838.885,26,2092.24,60643
172,29602.3,0,67,0,29398,4151441.185,13,44.316,60589
173,29463,0,65,0,29463,4180904.185,13,39.885,60524
174,29538,0,75,0,29538,4210442.185,13,35.896,60449
175,29590,0,52,0,29590,4240032.185,13,32.306,60397
176,29643,0,53,0,29643,4269675.185,13,29.076,60344
177,29690.01,2274,46,17,29672,4297091.195,29,2063.681,60299
178,29953.23,0,88,0,29760,4327044.425,16,118.243,60224
179,29824.24,0,61,0,29821,4356868.665,15,77.258,60164
180,29893.77,6310,70,46,29845,4380452.435,60,5723.601,60095
181,30470.19,0,86,0,29931,4410922.625,22,298.531,60047
182,30019.256,13777,74,93,29912,4427164.881,113,12539.674,59975
183,31257.84,0,142,0,30054,4458422.721,32,451.146,59914
184,30140.988,0,65,0,30119,4488563.71,26,208.137,59855
185,30180.177,0,59,0,30178,4518743.886,24,167.732,59798
186,30239.903,0,61,0,30239,4548983.79,23,142.828,59738
187,30295.008,4748,54,34,30259,4574530.798,56,4383.676,59685
188,30771.43,0,96,0,30355,4605302.228,26,197.439,59619
189,30418.318,0,57,0,30412,4635720.546,24,120.833,59564
190,30460.311,644,48,4,30456,4665536.856,27,685.553,59517
191,30587.96,0,74,0,30530,4696124.816,23,95.358,59447
192,30592,0,62,0,30592,4726716.816,23,85.822,59385
193,30645.314,85.47,53,4,30641,4757276.66,26,151.339,59333
194,30693,0,52,0,30693,4787969.66,26,136.205,59281
195,30757,0,64,0,30757,4818726.66,26,122.584,59217
196,30823.677,525,65,5,30817,4849025.337,30,567.729,59153
197,30926.02,21358,66,138,30745,4858593.357,164,19345.976,59091
198,32777.74,2452,171,16,30900,4888919.097,58,2862.518,59042
199,31220.069,574,75,4,30971,4919565.166,41,887.249,58988
200,31089.658,0,54,0,31025,4950654.824,34,216.605,58941
201,31101.99,0,71,0,31096,4981756.814,31,141.032,58873
202,31154.588,0,54,0,31150,5012911.402,29,85.639,58821
203,31214.541,0,63,0,31213,5044125.943,28,63.205,58759
204,31279.526,0,66,0,31279,5075405.469,27,52.149,58694
205,31343.105,0,64,0,31343,5106748.574,26,45.992,58631
206,31387,2854,44,18,31369,5135281.574,44,2609.993,58587
207,31699.24,5481,84,31,31422,5161499.814,60,5065.734,58518
208,32004.438,0,82,0,31504,5193504.252,26,55.22,58470
209,31564,0,60,0,31564,5225068.252,26,49.698,58410
210,31645,0,81,0,31645,5256713.252,26,44.728,58329
211,31713,0,68,0,31713,5288426.252,26,40.255,58261
212,31768,44,55,1,31767,5320150.252,27,75.83,58206
213,31817.069,0,50,0,31817,5351967.32,26,67.629,58157
214,31875,0,58,0,31875,5383842.32,26,60.866,58099
215,31943,0,68,0,31943,5415785.32,26,54.779,58031
216,32015.085,395,71,2,32012,5447405.405,27,395.038,57961
217,32102.55,0,55,0,32067,5479507.955,25,35.584,57908
218,32114,0,47,0,32114,5511621.955,25,32.026,57861
219,32168.105,28,52,1,32165,5543762.06,25,35.083,57810
220,32212,0,47,0,32212,5575974.06,25,31.575,57763
221,32272.268,0,58,0,32270,5608246.328,24,8.005,57706
222,32327,0,57,0,32327,5640573.328,24,7.205,57649
223,32391,0,64,0,32391,5672964.328,24,6.484,57585
224,32456,0,65,0,32456,5705420.328,24,5.836,57520
225,32521,0,65,0,32521,5737941.328,24,5.252,57455
226,32567,0,46,0,32567,5770508.328,24,4.727,57409
227,32621,0,54,0,32621,5803129.328,24,4.254,57355
228,32693.014,0,72,0,32693,5835822.342,23,3.703,57284
229,32758,0,65,0,32758,5868580.342,23,3.333,57219
230,32805,0,47,0,32805,5901385.342,23,2.999,57172
231,32867,0,62,0,32867,5934252.342,23,2.699,57110
232,32926,0,59,0,32926,5967178.342,23,2.429,57051
233,32981,0,55,0,32981,6000159.342,23,2.186,56996
234,33052,38401.055,71,212,32840,5994810.287,235,34562.917,56925
235,36481.826,5330,254,28,33066,6025962.113,72,5413.192,56862
236,33661.137,0,93,0,33159,6059623.25,40,352.64,56801
237,33237.371,0,58,0,33217,6092860.621,34,134.035,56749
238,33285.975,0,67,0,33284,6126146.596,33,102.855,56683
239,33348.952,0,62,0,33346,6159495.548,31,65.998,56623
240,33394,38531,48,205,33189,6154358.548,236,34737.298,56575
241,36844.23,0,249,0,33438,6191202.778,49,607.498,56513
242,33513.031,0,53,0,33491,6224715.81,43,348.467,56466
243,33566.727,0,68,0,33559,6258282.537,40,244.074,56401
244,33612.247,0,52,0,33611,6291894.784,39,208.447,56350
245,33674.665,0,59,0,33670,6325569.449,38,145.619,56292
246,33726.082,12,53,1,33722,6359283.531,38,114.115,56240
247,33799.057,82610.949,75,430,33367,6310471.638,467,74434.048,56166
248,41154.175,0,461,0,33828,6351625.814,69,1055.064,56103
249,33944.358,0,74,0,33902,6385570.171,59,568.339,56039
250,33974.908,0,57,0,33959,6419545.08,52,368.331,55989
251,34023.448,0,55,0,34014,6453568.527,49,246.468,55937
252,34073.181,0,58,0,34072,6487641.708,48,211.192,55880
253,34132.179,0,58,0,34130,6521773.887,47,170.463,55823
254,34186,17,56,1,34185,6555942.887,48,168.716,55767
255,34245.152,0,58,0,34243,6590188.04,47,132.474,55710
256,34292.518,8893,47,41,34249,6615587.558,86,8100.262,55665
257,35151.1,86902.85,111,434,33926,6563835.808,481,78382.901,55593
258,42054.659,0,441,0,34367,6605890.467,89,1355.683,55544
259,34511.545,0,78,0,34445,6640402.011,74,621.211,55481
260,34524.704,0,59,0,34504,6674926.715,67,372.758,55429
261,34564.199,0,56,0,34560,6709490.914,63,297.691,55377
262,34626.228,0,55,0,34615,6744117.142,57,166.867,55328
263,34666,4030,51,20,34646,6774753.142,77,3777.181,55277
264,35080.093,0,77,0,34723,6809833.235,58,185.629,55219
265,34798.305,0,71,0,34794,6844631.54,54,128.324,55152
266,34846.208,0,49,0,34843,6879477.747,53,86.623,55104
267,34883.64,0,39,0,34882,6914361.387,52,63.198,55066
268,34937.002,0,55,0,34937,6949298.39,51,56.858,55012
269,34993,0,56,0,34993,6984291.39,51,51.172,54956
270,35051.239,0,58,0,35051,7019342.629,50,43.901,54899
271,35111.922,22501,60,111,35000,7031953.551,159,20282.115,54841
272,37114.49,0,147,0,35147,7069068.041,62,546.493,54791
273,35235.711,0,61,0,35208,7104303.752,56,242.444,54736
274,35267.009,0,53,0,35261,7139570.761,53,164.116,54686
275,35320.428,0,57,0,35318,7174891.189,52,125.856,54630
276,35368.886,0,50,0,35368,7210260.075,51,105.299,54581
277,35424.773,0,53,0,35421,7245684.848,49,60.81,54530
278,35478,0,57,0,35478,7281162.848,49,54.729,54473
279,35534.197,0,56,0,35534,7316697.045,48,47.484,54418
280,35590,28.32,56,1,35589,7352258.725,49,68.223,54362
281,35628,0,39,0,35628,7387886.725,49,61.401,54323
282,35685.224,0,56,0,35684,7423571.949,48,44.246,54268
283,35739.166,46492,52,215,35521,7412819.115,260,41854.127,54219
284,39868.41,0,239,0,35760,7452687.525,66,693.025,54174
285,35859.269,0,71,0,35831,7488546.794,59,369.301,54110
286,35903.195,0,59,0,35890,7524449.989,56,213.617,54054
287,35938.771,0,47,0,35937,7560388.76,55,176.312,54008
288,36000.2,9250,57,40,35954,7587138.96,92,8427.88,53954
289,36867.1,312057.57,86,1392,34648,7311948.49,1446,280993.005,53906
290,63759.882,0,1352,0,36000,7375708.372,156,3054.764,53844
