Step,mass_grown,mass_burnt,trees_grown,trees_burnt,trees_count,trees_mass,ashes_count,ashes_mass,empty_count
100,20654.689,9388.419,564,281,20518,607350.474,29531,12580.117,39951
101,20895.861,7477.064,528,203,20843,620769.271,29459,11691.951,39698
102,21182.69,41772.79,549,1116,20276,600179.17,30283,14360.345,39441
103,20724.799,15296.677,556,424,20408,605607.292,30416,14005.179,39176
104,20900.763,10681.937,554,277,20685,615826.118,30367,13180.092,38948
105,21069.816,13539.928,514,402,20797,623356.006,30485,12831.26,38718
106,21161.155,7916.385,526,246,21077,636600.776,30446,11975.618,38477
107,21374.001,15884.281,528,437,21168,642090.496,30586,12069.483,38246
108,21513.136,22691.58,550,658,21060,640912.052,30953,12786.557,37987
109,21503.446,26355.359,572,680,20952,636060.139,31320,13699.991,37728
110,21325.154,22663.707,564,630,20886,634721.586,31657,14223.209,37457
111,21299.006,22271.868,553,553,20886,633748.724,31903,14615.069,37211
112,21334.827,17583.169,590,512,20964,637500.381,32095,14463.051,36941
113,21394.29,38884.861,504,1065,20403,620009.811,32874,16474.942,36723
114,20917.573,20932.387,553,589,20367,619994.996,33138,16406.114,36495
115,20941,44424.721,568,1154,19781,596511.275,33936,18633.975,36283
116,20394.176,15455.607,560,419,19922,601449.844,34004,17702.962,36074
117,20646.826,19061.521,605,528,19999,603035.149,34162,17113.992,35839
118,20582.272,18510.641,591,551,20039,605106.78,34355,16670.385,35606
119,20574.369,8236.673,585,259,20365,617444.476,34260,15291.644,35375
120,20770.936,31120.517,536,830,20071,607094.895,34766,16468.596,35163
121,20614.149,24773.608,574,702,19943,602935.436,35107,16755.947,34950
122,20477.089,20585.777,568,561,19950,602826.747,35316,16604.842,34734
123,20403.35,23719.943,542,645,19847,599510.154,35620,16863.002,34533
124,20357.182,8935.868,550,229,20168,610931.468,35503,15560.107,34329
125,20622.056,13407.632,526,391,20303,618145.892,35555,14890.804,34142
126,20757.762,15159.787,535,454,20384,623743.866,35680,14462.94,33936
127,20782.503,25321.432,539,678,20245,619204.937,36021,15150.287,33734
128,20681.703,24463.554,545,675,20115,615423.086,36358,15644.91,33527
129,20599.227,39981.987,554,1022,19647,596040.325,37021,17594.391,33332
130,20222.252,8812.773,541,240,19948,607449.805,36918,16140.977,33134
131,20477.517,18054.65,545,467,20026,609872.672,37013,15802.827,32961
132,20507.18,7640.266,535,226,20335,622739.586,36890,14505.391,32775
133,20697.893,9606.165,507,277,20565,633831.315,36854,13652.575,32581
134,20863.646,23967.371,527,662,20430,630727.59,37202,14385.409,32368
135,20928.58,22299.901,557,623,20364,629356.269,37454,14678.278,32182
136,20723.435,16967.235,489,491,20362,633112.469,37658,14547.739,31980
137,20775.105,47988.913,518,1231,19649,605898.661,38559,17478.751,31792
138,20184.317,19138.746,538,565,19622,606944.232,38793,17109.434,31585
139,20115.877,28008.84,559,707,19474,599051.269,39140,17705.497,31386
140,20000.728,23414.277,556,648,19382,595637.72,39426,17749.647,31192
141,19970.471,13358.021,570,331,19621,602250.171,39365,16722.013,31014
142,20097.937,38126.223,530,962,19189,584221.886,39976,18385.496,30835
143,19807.999,26156.858,574,670,19093,577873.026,40248,18543.634,30659
144,19620.003,18984.406,560,506,19147,578508.623,40382,18060.708,30471
145,19847.439,24335.071,575,621,19101,574020.991,40618,17987.705,30281
146,19725.496,7618.639,556,211,19446,586127.848,40434,16326.302,30120
147,19922.973,22533.93,529,546,19429,583516.892,40612,16470.092,29959
148,19979.642,32354.582,548,887,19090,571141.952,41119,17507.899,29791
149,19676.236,17291.546,504,501,19093,573526.641,41272,16900.028,29635
150,19594.619,38097.086,534,976,18651,555024.175,41875,18518.114,29474
151,19302.691,21606.727,538,550,18639,552720.138,42043,18175.285,29318
152,19277.064,29042.529,557,738,18458,542954.672,42389,18623.946,29153
153,19136.277,29166.811,593,733,18318,532924.138,42698,18999.955,28984
154,18929.632,14191.294,541,394,18465,537662.477,42702,17907.457,28833
155,19012.335,8905.038,522,253,18734,547769.774,42566,16459.88,28700
156,19199.918,27172.716,530,670,18594,539796.976,42873,17065.245,28533
157,19126.947,8159.718,528,221,18901,550764.204,42707,15641.746,28392
158,19446.575,11172.298,521,319,19103,559038.482,42660,14649.226,28237
159,19588.888,18003.261,513,442,19174,560624.109,42724,14498.741,28102
160,19584.61,20701.503,531,576,19129,559507.215,42933,14708.407,27938
161,19556.966,25932.755,525,666,18988,553131.426,43244,15402.876,27768
162,19526.423,12356.566,557,346,19199,560301.283,43184,14559.822,27617
163,19723.628,12106.164,551,348,19402,567918.747,43156,13789.828,27442
164,19808.836,26552.715,537,719,19220,561174.868,43497,14659.281,27283
165,19763.389,18691.454,533,552,19201,562246.803,43659,14519.109,27140
166,19668.88,8107.68,527,203,19525,573808.003,43494,13410.086,26981
167,19857.05,21737.419,489,513,19501,571927.635,43668,13910.769,26831
168,19996.735,17526.972,552,406,19647,574397.397,43680,13776.655,26673
169,20070.441,4523.309,539,147,20039,589944.529,43437,12427.879,26524
170,20397.763,30733.23,559,813,19785,579609.062,43833,13899.652,26382
171,20301.751,15797.892,551,476,19860,584112.92,43911,13572.725,26229
172,20300.754,18913.124,533,466,19927,585500.55,43988,13666.011,26085
173,20458.633,16092.94,574,434,20067,589866.244,44005,13377.071,25928
174,20556.145,17581.123,533,512,20088,592841.266,44124,13308.331,25788
175,20492.458,16263.714,544,442,20190,597070.009,44174,13199.411,25636
176,20539.982,27953.187,514,707,19997,589656.804,44502,14324.807,25501
177,20442.645,13603.66,547,426,20118,596495.79,44505,13807.047,25377
178,20571.586,5889.692,528,189,20457,611177.684,44296,12561.725,25247
179,20817.219,8603.909,545,253,20749,623390.995,44154,11805.724,25097
180,21143.047,15113.226,593,420,20922,629420.816,44149,11742.427,24929
181,21289.383,23398.3,545,635,20832,627311.899,44378,12540.632,24790
182,21280.873,23345.498,538,607,20763,625247.274,44587,13172.245,24650
183,21267.846,24348.44,556,684,20635,622166.68,44853,13785.019,24512
184,21090.606,16187.795,546,486,20695,627069.492,44927,13569.69,24378
185,21057.444,7007.929,579,208,21066,641119.007,44711,12551.07,24223
186,21468.428,15233.999,528,428,21166,647353.436,44740,12416.935,24094
187,21574.97,18330.435,517,512,21171,650597.971,44898,12599.315,23931
188,21610.678,14319.216,540,388,21323,657889.433,44880,12331.627,23797
189,21690.174,25637.104,529,708,21144,653942.504,45203,13295,23653
190,21603.24,29971.875,553,809,20888,645573.868,45606,14503.448,23506
191,21381.419,10787.5,569,320,21137,656167.787,45493,13638.434,23370
192,21507.814,28796.643,518,785,20870,648878.958,45894,14783.441,23236
193,21357.218,11386.603,553,327,21096,658849.573,45819,13956.539,23085
194,21583.365,20793.596,606,569,21133,659639.342,45931,14152.88,22936
195,21514.851,29501.75,523,818,20838,651652.443,46378,15305.917,22784
196,21377.649,36935.824,544,948,20434,636094.268,46922,16929.258,22644
197,20986.322,29621.244,559,774,20219,627459.346,47260,17646.135,22521
198,20793.111,31967.577,554,768,20005,616284.88,47599,18504.168,22396
199,20614.676,31262.264,553,785,19773,605637.292,47945,19170.302,22282
200,20529.6,21499.967,567,611,19729,604666.926,48116,18646.668,22155
201,20330.396,35179.795,564,830,19463,589817.527,48523,19698.585,22014
202,20188.491,34784.869,586,907,19142,575221.15,48963,20481.722,21895
203,19891.439,22362.087,588,616,19114,572750.501,49123,19920.319,21763
204,19785.249,29611.802,539,813,18840,562923.948,49515,20218.219,21645
205,19464.21,10091.339,558,269,19129,572296.819,49347,18581.321,21524
206,19628.795,19256.171,549,526,19152,572669.443,49441,18149.011,21407
