Step,mass_grown,mass_burnt,trees_grown,trees_burnt,trees_count,trees_mass,ashes_count,ashes_mass,empty_count
100,18058.559,6632.401,119,86,17696,1327197.634,7017,5246.164,65287
101,18099.019,6797.481,132,82,17746,1338499.173,7029,5130.276,65225
102,18189.103,8307.349,140,95,17791,1348380.927,7048,5144.88,65161
103,18180.386,14615.159,134,171,17754,1351946.153,7161,5836.522,65085
104,18171.296,6113.582,127,80,17801,1364003.867,7188,5573.932,65011
105,18283.959,7284.049,131,86,17846,1375003.778,7203,5392.985,64951
106,18316.258,8829.217,148,107,17887,1384490.818,7241,5414.35,64872
107,18257.73,9695.73,113,111,17889,1393052.818,7301,5584.759,64810
108,18333.732,11828.483,124,135,17878,1399558.067,7374,5888.399,64748
109,18417.661,11770.148,140,126,17892,1406205.58,7422,6076.912,64686
110,18386.801,11790.347,123,142,17873,1412802.034,7491,6276.455,64636
111,18453.953,9173.511,140,109,17904,1422082.475,7516,6125.208,64580
112,18359.334,8279.922,133,99,17938,1432161.887,7553,6018.346,64509
113,18521.637,16546.74,149,186,17901,1434136.784,7657,6636.549,64442
114,18412.297,7009.86,130,75,17956,1445539.222,7662,6292.582,64382
115,18453.003,8580.175,141,90,18007,1455412.05,7684,6165.339,64309
116,18516.554,21038.667,150,233,17924,1452889.937,7846,7293.118,64230
117,18577.016,10073.519,136,99,17961,1461393.434,7856,7054.142,64183
118,18554.185,9176.524,146,92,18015,1470771.095,7869,6819.195,64116
119,18583.922,5395.322,145,55,18105,1483959.695,7848,6252.885,64047
120,18564.589,7562.476,118,82,18141,1494961.807,7864,6042.256,63995
121,18604.582,16809.29,134,180,18095,1496757.099,7968,6789.377,63937
122,18718.503,9415.374,155,92,18158,1506060.228,7975,6583.474,63867
123,18808.621,7099.394,141,80,18219,1517769.455,7972,6125.446,63809
124,18785.126,9400.467,145,93,18271,1527154.114,7991,6031.822,63738
125,18856.082,10567.557,135,114,18292,1535442.639,8029,6035.314,63679
126,18912.184,10340.101,158,106,18344,1544014.721,8056,6003.609,63600
127,18803.011,6209.088,116,70,18390,1556608.644,8067,5681.145,63543
128,18862.371,6275.968,136,75,18451,1569195.047,8073,5404.257,63476
129,18955.383,11107.767,139,126,18464,1577042.663,8130,5609.224,63406
130,18932.843,11882.921,125,135,18454,1584092.585,8202,5892.751,63344
131,19019.298,7703.653,134,82,18506,1595408.23,8210,5642.543,63284
132,18951.485,11197.99,116,122,18500,1603161.725,8267,5868.602,63233
133,18936.85,16606.545,127,164,18463,1605492.03,8373,6632.547,63164
134,19057.191,4213.631,135,60,18538,1620335.59,8357,5931.464,63105
135,19045.341,8578.402,138,81,18595,1630802.529,8380,5826.817,63025
136,19056.967,18685.115,126,183,18538,1631174.381,8496,6776.68,62966
137,19186.809,11446.23,149,120,18567,1638914.96,8534,6743.826,62899
138,19268.931,15726.736,141,168,18540,1642457.155,8622,7081.186,62838
139,19257.354,11707.019,149,119,18570,1650007.49,8662,6975.415,62768
140,19292.361,6561.579,140,73,18637,1662738.273,8646,6351.67,62717
141,19114.29,9474.572,126,97,18666,1672377.991,8674,6312.67,62660
142,19185.787,7555.128,139,70,18735,1684008.65,8679,6056.129,62586
143,19161.867,17294.297,117,159,18693,1685876.221,8783,6870.078,62524
144,19422.066,11751.758,161,154,18700,1693546.529,8850,6790.18,62450
145,19368.41,14709.845,151,153,18698,1698205.094,8920,7064.736,62382
146,19414.554,15715.083,147,149,18696,1701904.565,8982,7360.216,62322
147,19430.645,16738.805,148,159,18685,1704596.405,9051,7711.43,62264
148,19435.141,16592.351,142,171,18656,1707439.195,9139,7991.381,62205
149,19537.066,3582.865,152,56,18752,1723393.396,9100,6821.464,62148
150,19398.512,9206.734,131,91,18792,1733585.175,9115,6544.479,62093
151,19241.227,19392.908,109,184,18717,1733433.494,9238,7489.095,62045
152,19430.965,14063.589,135,140,18712,1738800.87,9296,7567.579,61992
153,19449.93,14915.193,139,140,18711,1743335.607,9342,7703.41,61947
154,19493.473,19010.548,151,179,18683,1743818.532,9437,8202.651,61880
155,19526.687,9628.053,159,96,18746,1753717.166,9435,7660.504,61819
156,19546.57,20988.598,164,190,18720,1752275.139,9528,8356.744,61752
157,19441.822,13738.101,159,119,18760,1757978.86,9559,8332.057,61681
158,19524.526,16835.465,148,164,18744,1760667.921,9642,8565.872,61614
159,19644.384,16793.608,166,146,18764,1763518.697,9681,8654.262,61555
160,19470.21,10899.247,143,98,18809,1772089.66,9695,8315.55,61496
161,19715.208,18544.184,150,179,18780,1773260.684,9780,8582.205,61440
162,19792.572,8192.812,185,86,18879,1784860.443,9752,7715.694,61369
163,19557.917,6259.049,146,70,18955,1798159.312,9739,7037.112,61306
164,19703.142,19154.954,154,186,18923,1798707.5,9833,7654.754,61244
165,19634.205,15868.756,143,141,18925,1802472.949,9893,7907.949,61182
166,19578.275,17230.598,140,163,18902,1804820.626,9978,8326.939,61120
167,19770.985,11125.975,149,115,18936,1813465.636,10002,7886.858,61062
168,19798.014,10364.485,142,115,18963,1822899.166,10022,7414.606,61015
169,19639.321,9364.058,154,96,19021,1833174.429,10040,7087.23,60939
170,19636.096,7611.745,148,96,19073,1845198.78,10049,6672.586,60878
171,19546.998,15052.389,126,157,19042,1849693.389,10133,7162.568,60825
172,19847.068,13645.624,153,133,19062,1855894.833,10175,7158.805,60763
173,19737.671,14848.005,155,174,19043,1860784.499,10277,7407.054,60680
174,19859.547,15666.862,158,168,19033,1864977.184,10353,7574.488,60614
175,19726.686,17199.282,138,139,19032,1867504.588,10402,7981.281,60566
176,19851.173,19083.374,150,161,19021,1868272.387,10471,8422.318,60508
177,19819.046,7816.074,142,71,19092,1880275.359,10458,7705.647,60450
178,19883.44,13829.971,147,126,19113,1886328.828,10497,7673.64,60390
179,19826.368,6123.462,145,71,19187,1900031.735,10478,6950.254,60335
180,19904.949,10038.186,163,89,19261,1909898.498,10477,6704.098,60262
181,20008.706,17534.367,155,148,19268,1912372.837,10539,7194.419,60193
182,19933.293,20394.983,131,184,19215,1911911.147,10653,7980.182,60132
183,20097.786,14348.958,139,128,19226,1917659.975,10702,7873.274,60072
184,19996.948,18611.63,144,158,19212,1919045.293,10779,8320.161,60009
185,20024.265,11370.981,145,113,19244,1927698.578,10809,7957.978,59947
186,20066.569,15423.431,158,138,19264,1932341.716,10857,8039.954,59879
187,20080.408,7070.654,159,93,19330,1945351.47,10863,7285.616,59807
188,20067.214,19439.587,164,170,19324,1945979.098,10941,7927.799,59735
189,20200.838,21393.983,144,222,19246,1944785.952,11070,8541.58,59684
190,20221.777,12718.031,157,100,19303,1952289.697,11072,8140.448,59625
191,20071.993,21984.446,156,198,19261,1950377.244,11187,8911.855,59552
192,20168.462,19277.172,153,180,19234,1951268.534,11270,9193.925,59496
193,20282.847,19108.89,156,181,19209,1952442.491,11349,9292.574,59442
194,20162.524,11106.62,165,110,19264,1961498.395,11363,8685.455,59373
195,20125.128,12605.205,174,105,19333,1969018.318,11368,8390.302,59299
196,20301.258,11992.157,178,106,19405,1977327.419,11366,7960.229,59229
197,20145.565,14237.017,151,138,19418,1983235.966,11411,7998.344,59171
198,20163.642,4876.768,149,70,19497,1998522.84,11387,7089.544,59116
199,20137.048,7475.471,160,91,19566,2011184.416,11390,6648.089,59044
200,20312.25,14046.109,137,133,19570,2017450.558,11443,6778.641,58987
201,20256.893,10798.855,140,95,19615,2026908.596,11459,6633.769,58926
202,20206.949,15591.991,128,140,19603,2031523.554,11529,7065.643,58868
203,20199.793,18181.977,129,182,19550,2033541.37,11644,7709.483,58806
204,20523.019,15664.326,155,151,19554,2038400.063,11693,7686.948,58753
