Step,mass_grown,mass_burnt,trees_grown,trees_burnt,trees_count,trees_mass,ashes_count,ashes_mass,empty_count
100,18695,19277,713,791,18617,419777,45072,0,26311
101,18617,16450,754,648,18723,421944,45252,0,26025
102,18723,19225,728,765,18686,421442,45556,0,25758
103,18686,19166,760,748,18698,420962,45818,0,25484
104,18698,17168,725,743,18680,422492,46081,0,25239
105,18680,18372,701,701,18680,422800,46327,0,24993
106,18680,17775,696,655,18721,423705,46527,0,24752
107,18721,16694,762,656,18827,425732,46697,0,24476
108,18827,19086,731,768,18790,425473,46988,0,24222
109,18790,23720,759,900,18649,420543,47386,0,23965
110,18649,19408,698,733,18614,419784,47671,0,23715
111,18614,18585,673,703,18584,419813,47941,0,23475
112,18584,21324,719,848,18455,417073,48311,0,23234
113,18455,21495,735,813,18377,414033,48615,0,23008
114,18377,16183,679,655,18401,416227,48796,0,22803
115,18401,20819,720,795,18326,413809,49089,0,22585
116,18326,19786,736,764,18298,412349,49348,0,22354
117,18298,17333,746,677,18367,413314,49522,0,22111
118,18367,15199,742,568,18541,416482,49565,0,21894
119,18541,22968,688,871,18358,412055,49952,0,21690
120,18358,13554,638,597,18399,416859,50114,0,21487
121,18399,15522,711,651,18459,419736,50273,0,21268
122,18459,19536,765,775,18449,418659,50544,0,21007
123,18449,16248,739,637,18551,420860,50662,0,20787
124,18551,17182,725,638,18638,422229,50770,0,20592
125,18638,18975,676,748,18566,421892,51058,0,20376
126,18566,18709,744,717,18593,421749,51236,0,20171
127,18593,22253,721,897,18417,418089,51602,0,19981
128,18417,17541,769,679,18507,418965,51716,0,19777
129,18507,23722,769,944,18332,413750,52094,0,19574
130,18332,19833,714,769,18277,412249,52353,0,19370
131,18277,18872,716,733,18260,411654,52553,0,19187
132,18260,17564,717,659,18318,412350,52695,0,18987
133,18318,17598,679,643,18354,413070,52833,0,18813
134,18354,21116,678,783,18249,410308,53114,0,18637
135,18249,20291,693,753,18189,408266,53365,0,18446
136,18189,15674,716,617,18288,410781,53446,0,18266
137,18288,17337,723,689,18322,411732,53577,0,18101
138,18322,18073,715,728,18309,411981,53751,0,17940
139,18309,18429,727,697,18339,411861,53911,0,17750
140,18339,17922,642,689,18292,412278,54104,0,17604
141,18292,18337,752,710,18334,412233,54245,0,17421
142,18334,17730,726,680,18380,412837,54376,0,17244
143,18380,20293,731,791,18320,410924,54609,0,17071
144,18320,16924,708,710,18318,412320,54771,0,16911
145,18318,16318,735,651,18402,414320,54859,0,16739
146,18402,17240,716,683,18435,415482,54987,0,16578
147,18435,17289,741,747,18429,416628,55174,0,16397
148,18429,15033,674,614,18489,420024,55290,0,16221
149,18489,17786,714,693,18510,420727,55447,0,16043
150,18510,19152,706,734,18482,420085,55633,0,15885
151,18482,20849,721,769,18434,417718,55841,0,15725
152,18434,20043,711,760,18385,416109,56045,0,15570
153,18385,22198,737,820,18302,412296,56283,0,15415
154,18302,16314,735,623,18414,414284,56329,0,15257
155,18414,18854,765,699,18480,413844,56441,0,15079
156,18480,15924,697,689,18488,416400,56589,0,14923
157,18488,22001,708,857,18339,412887,56880,0,14781
158,18339,16699,731,688,18382,414527,57000,0,14618
159,18382,17364,722,652,18452,415545,57101,0,14447
160,18452,19067,734,721,18465,414930,57230,0,14305
161,18465,21860,700,797,18368,411535,57447,0,14185
162,18368,19001,711,775,18304,410902,57653,0,14043
163,18304,15182,713,652,18365,414024,57722,0,13913
164,18365,20481,672,760,18277,411908,57930,0,13793
165,18277,18712,747,726,18298,411473,58054,0,13648
166,18298,20838,719,792,18225,408933,58259,0,13516
167,18225,14769,751,605,18371,412389,58264,0,13365
168,18371,18484,748,682,18437,412276,58330,0,13233
169,18437,20780,738,806,18369,409933,58538,0,13093
170,18369,14557,710,622,18457,413745,58588,0,12955
171,18457,16075,720,651,18526,416127,58635,0,12839
172,18526,18241,705,741,18490,416412,58798,0,12712
173,18490,16902,667,671,18486,418000,58911,0,12603
174,18486,19425,743,733,18496,417061,59046,0,12458
175,18496,12415,705,531,18670,423142,58993,0,12337
176,18670,18642,729,807,18592,423170,59211,0,12197
177,18592,15664,740,643,18689,426098,59233,0,12078
178,18689,20516,690,823,18556,424271,59489,0,11955
179,18556,21778,702,852,18406,421049,59743,0,11851
180,18406,19929,737,767,18376,419526,59884,0,11740
181,18376,17967,741,728,18389,419935,59987,0,11624
182,18389,18305,681,707,18363,420019,60118,0,11519
183,18363,23646,709,845,18227,414736,60362,0,11411
184,18227,19149,729,743,18213,413814,60500,0,11287
185,18213,19242,726,779,18160,412785,60672,0,11168
186,18160,19226,677,769,18068,411719,60849,0,11083
187,18068,17901,749,667,18150,411886,60877,0,10973
188,18150,14862,679,580,18249,415174,60876,0,10875
189,18249,18849,682,773,18158,414574,61068,0,10774
190,18158,17179,782,685,18255,415553,61086,0,10659
191,18255,15777,743,624,18374,418031,61085,0,10541
192,18374,19019,730,726,18378,417386,61186,0,10436
193,18378,19122,684,717,18345,416642,61328,0,10327
194,18345,17419,746,696,18395,417568,61400,0,10205
195,18395,19002,736,752,18379,416961,61522,0,10099
196,18379,20281,705,791,18293,415059,61702,0,10005
197,18293,17971,765,725,18333,415381,61766,0,9901
198,18333,17023,731,666,18398,416691,61828,0,9774
199,18398,15794,731,637,18492,419295,61833,0,9675
200,18492,18606,677,691,18478,419181,61930,0,9592
201,18478,17969,734,675,18537,419690,61968,0,9495
202,18537,17711,659,675,18521,420516,62074,0,9405
203,18521,16424,707,639,18589,422613,62097,0,9314
204,18589,20268,697,807,18479,420934,62304,0,9217
205,18479,19286,771,728,18522,420127,62379,0,9099
206,18522,24323,722,886,18358,414326,62635,0,9007
207,18358,20246,686,853,18191,412438,62903,0,8906
208,18191,18053,740,684,18247,412576,62931,0,8822
209,18247,21051,735,822,18160,409772,63104,0,8736
210,18160,21382,711,742,18129,406550,63217,0,8654
211,18129,15478,770,611,18288,409201,63149,0,8563
212,18288,15912,694,650,18332,411577,63176,0,8492
213,18332,17589,679,698,18313,412320,63275,0,8412
214,18313,17087,665,677,18301,413546,63370,0,8329
215,18301,17936,722,718,18305,413911,63456,0,8239
216,18305,15400,695,601,18399,416816,63460,0,8141
217,18399,19969,701,762,18338,415246,63602,0,8060
218,18338,17412,750,716,18372,416172,63645,0,7983
219,18372,20481,729,765,18336,414063,63760,0,7904
220,18336,17951,716,678,18374,414448,63799,0,7827
221,18374,15936,709,650,18433,416886,63819,0,7748
222,18433,16537,663,659,18437,418782,63883,0,7680
223,18437,16682,725,671,18491,420537,63905,0,7604
224,18491,17314,678,708,18461,421714,64006,0,7533
225,18461,17646,740,659,18542,422529,64009,0,7449
226,18542,16180,766,628,18680,424891,63949,0,7371
227,18680,17135,779,664,18795,426436,63910,0,7295
228,18795,19120,711,732,18774,426111,64001,0,7225
229,18774,21300,715,840,18649,423585,64209,0,7142
230,18649,17011,683,681,18651,425223,64282,0,7067
231,18651,19514,685,774,18562,424360,64440,0,6998
232,18562,17681,691,718,18535,425241,64534,0,6931
233,18535,19896,696,741,18490,423880,64638,0,6872
234,18490,20249,777,782,18485,422121,64721,0,6794
235,18485,18887,694,739,18440,421719,64826,0,6734
236,18440,20835,720,759,18401,419324,64943,0,6656
237,18401,18327,767,687,18481,419398,64944,0,6575
238,18481,20350,724,787,18418,417529,65077,0,6505
239,18418,17944,740,695,18463,418003,65089,0,6448
240,18463,17901,706,688,18481,418565,65122,0,6397
241,18481,19244,730,770,18441,417802,65244,0,6315
242,18441,18393,732,717,18456,417850,65295,0,6249
243,18456,20500,727,735,18448,415806,65355,0,6197
244,18448,17393,732,690,18490,416861,65369,0,6141
245,18490,21181,658,819,18329,414170,65571,0,6100
246,18329,17273,711,688,18352,415226,65609,0,6039
247,18352,17769,687,713,18326,415809,65688,0,5986
248,18326,21327,732,843,18215,412808,65868,0,5917
249,18215,19941,761,739,18237,411082,65895,0,5868
250,18237,16394,764,636,18365,412925,65826,0,5809
251,18365,16776,732,663,18434,414514,65823,0,5743
252,18434,17175,729,678,18485,415773,65823,0,5692
253,18485,18484,685,696,18474,415774,65881,0,5645
254,18474,18490,713,708,18479,415758,65926,0,5595
255,18479,15857,702,663,18518,418380,65937,0,5545
256,18518,19700,695,765,18448,417198,66062,0,5490
257,18448,22812,706,880,18274,412834,66284,0,5442
258,18274,21924,734,807,18201,409184,66425,0,5374
259,18201,16049,707,675,18233,411336,66451,0,5316
260,18233,19241,734,755,18212,410328,66517,0,5271
261,18212,16910,719,650,18281,411630,66497,0,5222
262,18281,14647,725,605,18401,415264,66431,0,5168
263,18401,18401,682,713,18370,415264,66516,0,5114
264,18370,18547,723,717,18376,415087,66568,0,5056
265,18376,22794,714,874,18216,410669,66773,0,5011
266,18216,19912,764,751,18229,408973,66809,0,4962
267,18229,14855,737,584,18382,412347,66711,0,4907
268,18382,12844,735,550,18567,417885,66565,0,4868
269,18567,19584,695,768,18494,416868,66688,0,4818
270,18494,20333,748,764,18478,415029,66753,0,4769
271,18478,17860,696,694,18480,415647,66798,0,4722
272,18480,19458,678,757,18401,414669,66924,0,4675
273,18401,17791,766,710,18457,415279,66912,0,4631
274,18457,19684,719,763,18413,414052,66999,0,4588
275,18413,19562,682,788,18307,412903,67137,0,4556
276,18307,14946,705,616,18396,416264,67090,0,4514
277,18396,13917,754,556,18594,420743,66939,0,4467
278,18594,18631,734,742,18586,420706,66995,0,4419
279,18586,19405,725,717,18594,419887,67021,0,4385
280,18594,20881,716,805,18505,417600,67158,0,4337
281,18505,18371,705,714,18496,417734,67200,0,4304
282,18496,18966,656,735,18417,417264,67324,0,4259
283,18417,22357,705,863,18259,413324,67520,0,4221
284,18259,20951,707,874,18092,410632,67739,0,4169
285,18092,15734,716,624,18184,412990,67690,0,4126
286,18184,19375,758,743,18199,411799,67712,0,4089
287,18199,15465,736,625,18310,414533,67646,0,4044
288,18310,18421,712,717,18305,414422,67689,0,4006
289,18305,19263,679,713,18271,413464,67755,0,3974
290,18271,17248,681,710,18242,414487,67821,0,3937
291,18242,18243,739,742,18239,414486,67858,0,3903
292,18239,16697,703,696,18246,416028,67895,0,3859
293,18246,17908,714,707,18253,416366,67925,0,3822
294,18253,17603,707,706,18254,417016,67971,0,3775
295,18254,16969,713,638,18329,418301,67941,0,3730
296,18329,14923,745,603,18471,421707,67839,0,3690
297,18471,15825,749,626,18594,424353,67753,0,3653
298,18594,20154,696,795,18495,422793,67893,0,3612
299,18495,20676,721,839,18377,420612,68051,0,3572
300,18377,19720,659,765,18271,419269,68189,0,3540
301,18271,17221,705,719,18257,420319,68226,0,3517
302,18257,18764,675,731,18201,419812,68313,0,3486
303,18201,15942,663,616,18248,422071,68300,0,3452
304,18248,19531,748,716,18280,420788,68305,0,3415
305,18280,18589,699,706,18273,420479,68348,0,3379
306,18273,20547,705,720,18258,418205,68389,0,3353
307,18258,18589,702,716,18244,417874,68432,0,3324
308,18244,15872,659,657,18246,420246,68461,0,3293
309,18246,17243,724,639,18331,421249,68406,0,3263
310,18331,17915,683,660,18354,421665,68416,0,3230
311,18354,18794,654,685,18323,421225,68476,0,3201
312,18323,20349,740,788,18275,419199,68553,0,3172
313,18275,18488,710,685,18300,418986,68554,0,3146
314,18300,17813,761,677,18384,419473,68496,0,3120
315,18384,19535,735,743,18376,418322,68528,0,3096
316,18376,18187,683,651,18408,418511,68532,0,3060
317,18408,17710,724,718,18414,419209,68561,0,3025
318,18414,17282,749,705,18458,420341,68549,0,2993
319,18458,22287,714,878,18294,416512,68736,0,2970
320,18294,17654,692,712,18274,417152,68776,0,2950
321,18274,19289,649,743,18180,416137,68894,0,2926
322,18180,16642,727,611,18296,417675,68808,0,2896
323,18296,17242,675,667,18304,418729,68834,0,2862
324,18304,20512,724,813,18215,416521,68951,0,2834
325,18215,13814,738,575,18378,420922,68818,0,2804
326,18378,18617,719,732,18365,420683,68862,0,2773
327,18365,16161,701,650,18416,422887,68847,0,2737
328,18416,17549,719,711,18424,423754,68865,0,2711
329,18424,16957,723,677,18470,425221,68845,0,2685
330,18470,21353,745,848,18367,422338,68975,0,2658
331,18367,22519,695,781,18281,418186,69089,0,2630
332,18281,23805,759,894,18146,412662,69248,0,2606
333,18146,15759,737,657,18226,415049,69190,0,2584
334,18226,16066,722,638,18310,417209,69128,0,2562
335,18310,16509,721,644,18387,419010,69076,0,2537
336,18387,16809,676,671,18392,420588,69096,0,2512
337,18392,16766,682,653,18421,422214,69098,0,2481
338,18421,18382,742,663,18500,422253,69053,0,2447
339,18500,19081,751,744,18507,421672,69067,0,2426
340,18507,13035,760,522,18745,427144,68852,0,2403
