Step,mass_grown,mass_burnt,trees_grown,trees_burnt,trees_count,trees_mass,ashes_count,ashes_mass,empty_count
100,39364,45887,1963,3208,38119,426791,50694,0,1187
101,38119,34333,2061,2122,38058,430577,50795,0,1147
102,38058,5878,2078,425,39711,462757,49186,0,1103
103,39711,118990,2035,7774,33972,383478,54971,0,1057
104,33972,13365,2166,943,35195,404085,53784,0,1021
105,35195,34158,2198,1738,35655,405122,53357,0,988
106,35655,23780,2172,1594,36233,416997,52820,0,947
107,36233,27222,2221,1968,36486,426008,52613,0,901
108,36486,35874,2168,2518,36136,426620,52992,0,872
109,36136,107206,2181,6187,32130,355550,57032,0,838
110,32130,89305,2225,5430,28925,298375,60280,0,795
111,28925,142,2469,10,31384,327158,57851,0,765
112,31384,452,2382,47,33719,358090,55548,0,733
113,33719,73199,2301,4595,31425,318610,57873,0,702
114,31425,24124,2307,1652,32080,325911,57240,0,680
115,32080,1890,2236,151,34165,356101,55177,0,658
116,34165,31367,2168,2141,34192,358899,55180,0,628
117,34192,19899,2281,1282,35191,373192,54205,0,604
118,35191,64456,2203,4048,33346,343927,56071,0,583
119,33346,157,2226,22,35550,377116,53888,0,562
120,35550,176,2168,21,37697,412490,51762,0,541
121,37697,796,2092,76,39713,449391,49765,0,522
122,39713,69054,2036,3757,37992,420050,51503,0,505
123,37992,84123,2017,4881,35128,373919,54384,0,488
124,35128,34,2213,8,37333,409013,52198,0,469
125,37333,88457,2046,5843,33536,357889,56017,0,447
126,33536,75208,2228,5247,30517,316217,59052,0,431
127,30517,3804,2351,208,32660,342930,56930,0,410
128,32660,22017,2354,1458,33556,353573,56054,0,390
129,33556,64601,2241,3931,31866,322528,57759,0,375
130,31866,266,2271,26,34111,354128,55529,0,360
131,34111,1144,2249,106,36254,387095,53399,0,347
132,36254,52055,2119,3394,34979,371294,54684,0,337
133,34979,45733,2269,2999,34249,360540,55429,0,322
134,34249,85646,2155,5744,30660,309143,59029,0,311
135,30660,39,2409,9,33060,339764,56639,0,301
136,33060,22379,2185,1532,33713,350445,56006,0,281
137,33713,97,2256,22,35947,384061,53782,0,271
138,35947,41761,2143,2791,35299,378247,54442,0,259
139,35299,906,2166,71,37394,412640,52355,0,251
140,37394,86474,2135,5110,34419,363560,55340,0,241
141,34419,663,2196,43,36572,397316,53195,0,233
142,36572,9762,2123,593,38102,424126,51679,0,219
143,38102,85537,2064,5441,34725,376691,55065,0,210
144,34725,253,2157,32,36850,411163,52947,0,203
145,36850,15519,2126,1031,37945,432494,51858,0,197
146,37945,175520,2042,11166,28821,294919,60988,0,191
147,28821,15298,2369,1124,30066,308442,59750,0,184
148,30066,63,2394,13,32447,338445,57377,0,176
149,32447,30929,2295,1926,32816,339963,57010,0,174
150,32816,14488,2297,1156,33957,358291,55876,0,167
151,33957,295,2294,29,36222,391953,53616,0,162
152,36222,10553,2192,674,37740,417622,52106,0,154
