Step,mass_grown,mass_burnt,trees_grown,trees_burnt,trees_count,trees_mass,ashes_count,ashes_mass,empty_count
100,39669.623,0,624,0,40293,1470355.892,35277,133.811,14430
101,40293.034,0,599,0,40892,1510648.926,34898,13.348,14210
102,40892.003,0,650,0,41542,1551540.928,34483,1.332,13975
103,41542,28.4,643,2,42183,1593054.528,34067,2.973,13750
104,42183,0,680,0,42863,1635237.528,33607,0.297,13530
105,42863,0,633,0,43496,1678100.528,33194,0.03,13310
106,43496,46161.532,636,1287,42845,1675434.997,34034,4616.156,13121
107,42868.503,0,677,0,43522,1718303.5,33545,438.113,12933
108,43522.235,565883.29,671,12437,31756,1195942.445,45513,56631.905,12731
109,32152.108,0,1175,0,32931,1228094.553,44514,5267.083,12555
110,32935.411,0,557,0,33488,1261029.964,44106,522.298,12406
111,33488.144,0,487,0,33975,1294518.107,43748,52.086,12277
112,33975.016,0,548,0,34523,1328493.123,43357,5.193,12120
113,34523.001,1048300.373,550,24902,10171,314715.752,67883,104830.555,11946
114,10794.135,0,1308,0,11479,325509.887,66632,9859.92,11889
115,11485.977,0,434,0,11913,336995.864,66241,979.015,11846
116,11913.138,0,287,0,12200,348909.001,65998,97.764,11802
117,12200.023,0,361,0,12561,361109.025,65694,9.753,11745
118,12561.002,0,363,0,12924,373670.027,65376,0.973,11700
119,12924,418.22,400,31,13293,386175.807,65055,41.919,11652
120,13293.335,0,473,0,13766,399469.142,64639,3.857,11595
121,13766,0,466,0,14232,413235.142,64238,0.386,11530
122,14232,0,458,0,14690,427467.142,63834,0.039,11476
123,14690,0,484,0,15174,442157.142,63410,0.004,11416
124,15174,0,462,0,15636,457331.142,62993,0,11371
125,15636,0,564,0,16200,472967.142,62480,0,11320
126,16200,0,564,0,16764,489167.142,61970,0,11266
127,16764,0,564,0,17328,505931.142,61469,0,11203
128,17328,0,577,0,17905,523259.142,60946,0,11149
129,17905,0,652,0,18557,541164.142,60352,0,11091
130,18557,0,607,0,19164,559721.142,59797,0,11039
131,19164,0,677,0,19841,578885.142,59190,0,10969
132,19841,0,670,0,20511,598726.142,58589,0,10900
133,20511,0,730,0,21241,619237.142,57919,0,10840
134,21241,0,727,0,21968,640478.142,57273,0,10759
135,21968,0,757,0,22725,662446.142,56576,0,10699
136,22725,0,767,0,23492,685171.142,55881,0,10627
