Step,mass_grown,mass_burnt,trees_grown,trees_burnt,trees_count,trees_mass,ashes_count,ashes_mass,empty_count
100,112454.461,0,2760,0,58831,2715880.564,13151,118525.36,18018
101,85808.685,239763.883,1973,4920,55884,2561925.366,16446,295482.634,17670
102,187934.615,0,3706,0,59590,2749859.98,13101,133883.756,17309
103,98694.31,10.487,2109,1,61698,2848543.803,11408,81400.508,16894
104,79308.938,0,1551,0,63249,2927852.741,10244,55649.52,16507
105,72669.593,12514.333,1253,306,64196,2988008.001,9691,51926.874,16113
106,74978.817,7325.865,1167,175,65188,3055660.954,9048,42544.648,15764
107,73307.18,2110852.199,1029,43195,23022,1018115.935,51562,1929937.982,15416
108,1073751.21,19.484,20197,3,43216,2091847.661,31564,686232.51,15220
109,310538.104,0,7827,0,51043,2402385.765,24000,350287.154,14957
110,154925.93,0,4412,0,55455,2557311.695,19855,211375.509,14690
111,105659.175,0,2914,0,58369,2662970.87,17235,140033.783,14396
112,85155.513,0,2137,0,60506,2748126.383,15374,99243.891,14120
113,77189.245,0,1731,0,62237,2825315.628,13921,72636.257,13842
114,72522.193,0,1379,0,63616,2897837.821,12821,55087.439,13563
115,70982.33,0,1264,0,64880,2968820.151,11824,42212.365,13296
116,69835.441,0,1074,0,65954,3038655.592,11035,33035.687,13011
117,69467.305,0,1004,0,66958,3108122.897,10324,26218.814,12718
118,69583.27,2716593.099,912,57317,10553,461113.068,67014,2465905.452,12433
119,1293137.644,0,25398,0,35951,1754250.712,41728,936730.262,12321
120,400111.204,13.833,10383,1,46333,2154348.084,31525,478909.481,12142
121,192213.193,2113.523,5701,46,51988,2344447.754,26061,287040.511,11951
122,122160.392,0,3719,0,55707,2466608.146,22518,188164.068,11775
123,94588.928,0,2712,0,58419,2561197.074,19985,130465.733,11596
124,80024.085,0,2067,0,60486,2641221.159,18130,95814.075,11384
125,75587.117,0,1793,0,62279,2716808.275,16562,71131.551,11159
126,71343.091,186146.55,1429,4260,59448,2602004.817,19618,222486.199,10934
127,145614.58,0,2851,0,62299,2747619.396,16981,114071,10720
128,93389.487,138509.133,1852,3168,60983,2702499.75,18515,196231.633,10502
129,133475.24,1552000.344,2597,34335,29245,1283974.645,50458,1500916.54,10297
130,751581.194,561774.797,15789,12451,32583,1473781.043,47260,1134086.009,10157
131,515703.809,0,12337,0,44920,1989484.851,35061,537556.599,10019
132,218516.869,0,6300,0,51220,2208001.72,28911,310204.07,9869
133,131031.846,0,3965,0,55185,2339033.566,25093,199371.817,9722
134,95677.368,0,2797,0,57982,2434710.934,22473,138942.268,9545
135,82760.194,0,2182,0,60164,2517471.129,20459,100269.846,9377
136,75713.042,0,1752,0,61916,2593184.171,18883,74693.819,9201
137,71414.924,0,1450,0,63366,2664599.095,17599,57725.514,9035
138,69952.28,55981.197,1275,1321,63320,2678570.178,17841,95749.759,8839
139,91445.054,19118.725,1570,449,64441,2750896.506,16884,75256.582,8675
140,84185.12,589346.123,1418,13843,52016,2245735.503,29468,578398.315,8516
141,311568.636,0,6480,0,58496,2557304.139,23115,261005.848,8389
142,147178.055,0,3414,0,61910,2704482.194,19881,146223.208,8209
143,99596.859,1616227.934,2156,35956,28110,1187851.119,53851,1548519.169,8039
144,767788.208,263164.194,16260,5850,38520,1692475.132,43540,890836.819,7940
145,394176.962,831.288,9892,23,48389,2085820.807,33789,446844.334,7822
146,184253.211,0,5438,0,53827,2270074.017,28476,266295.69,7697
147,120470.954,6.062,3557,1,57383,2390538.909,25045,173027.623,7572
148,92630.534,991.904,2550,29,59904,2482177.538,22668,121370.041,7428
149,80042.946,0,1948,0,61852,2562220.484,20842,89094.091,7306
150,75005.64,26.654,1627,1,63478,2637199.47,19360,67055.031,7162
151,71777.954,0,1401,0,64879,2708977.423,18093,52049.574,7028
152,70796.254,983003.174,1157,23207,42829,1796770.503,40284,925630.22,6887
153,461551.353,702.969,10000,19,52810,2257618.888,30404,414977.516,6786
154,194176.485,0,4867,0,57677,2451795.372,25639,232113.28,6684
155,119280.616,0,3095,0,60772,2571075.989,22667,147298.336,6561
156,93189.958,150281.625,2182,3284,59670,2513984.322,23885,235404.006,6445
157,148420.456,0,3099,0,62769,2662404.778,20912,123113.15,6319
158,92437.52,0,1908,0,64677,2754842.298,19129,81133.314,6194
159,79747.358,385904.979,1467,8616,57528,2448684.677,26387,405264.106,6085
160,238370.674,0,4732,0,62260,2687055.35,21738,183895.022,6002
161,119663.744,1323933.518,2488,29080,35668,1482785.577,48437,1299641.941,5895
162,653190.549,0,13678,0,49346,2135976.126,34830,552155.198,5824
163,249234.683,0,6492,0,55838,2385210.81,28422,297050.995,5740
164,138195.413,5426.486,3804,128,59514,2517979.737,24846,189872.319,5640
165,104824.62,0,2707,0,62221,2622804.357,22244,125574.467,5535
166,87012.46,25568.08,2041,581,63681,2684248.737,20888,111236.833,5431
167,90789.67,0,1886,0,65567,2775038.407,19109,73004.48,5324
168,77913.536,0,1374,0,66941,2852951.943,17827,53357.496,5232
169,73780.53,0,1158,0,68099,2926732.472,16766,41182.217,5135
170,73168.344,0,1046,0,69145,2999900.816,15831,31994.651,5024
171,72671.809,0,953,0,70098,3072572.625,15000,25268.377,4902
172,72564.563,0,868,0,70966,3145137.188,14240,20274.977,4794
173,72729.348,0,776,0,71742,3217866.536,13562,16484.131,4696
174,72947.203,3080607.207,675,67581,4836,210206.531,80570,2786177.002,4594
175,1383543.159,0,28704,0,33540,1593749.691,51892,1128852.142,4568
176,459288.844,0,12429,0,45969,2053038.535,39525,590218.084,4506
177,224102.204,0,6882,0,52851,2277140.739,32721,353063.072,4428
178,140294.743,1548.897,4419,40,57230,2415886.585,28417,231707.029,4353
179,106667.005,2410.231,3200,61,60369,2520143.359,25354,161268.528,4277
180,90290.626,150969.201,2505,3586,59288,2459464.784,26509,251092.33,4203
181,139294.714,602567.339,3204,13694,48798,1996192.16,37076,688286.988,4126
182,330609.877,0,7584,0,56382,2326802.036,29555,337646.412,4063
183,163687.482,0,4203,0,60585,2490489.519,25420,196576.289,3995
184,109284.248,0,2716,0,63301,2599773.767,22783,128219.412,3916
185,89413.604,0,2027,0,65328,2689187.371,20839,89284.867,3833
186,79674.233,23024.296,1545,565,66308,2745837.307,19919,86732.014,3773
187,84893.184,1298850.086,1503,30462,37349,1531880.405,48950,1228438.706,3701
188,591287.647,0,13119,0,50468,2123168.052,35884,551656.188,3648
189,243373.525,721.395,6445,16,56897,2365820.183,29508,304234.3,3595
190,138630.303,0,3779,0,60676,2504450.486,25796,192077.566,3528
191,104243.149,0,2659,0,63335,2608693.635,23208,129302.661,3457
192,87222.667,1001991.558,1982,22815,42502,1693924.744,44093,994277.13,3405
193,487839.888,0,10616,0,53118,2181764.632,33521,449511.529,3361
194,200378.022,985.441,5159,23,58254,2381157.213,28430,258187.251,3316
195,125443.313,0,3297,0,61551,2506600.526,25188,165179.213,3261
196,97882.119,258266.675,2456,6351,57656,2346215.97,29159,344770.18,3185
197,181149.293,0,4207,0,61863,2527365.263,25006,186799.869,3131
198,110515.512,0,2530,0,64393,2637880.774,22537,119467.371,3070
199,88429.735,77272.575,1872,1896,64369,2649037.935,22622,153029.215,3009
200,110794.204,0,2246,0,66615,2759832.139,20428,91301.09,2957
201,86710.406,0,1566,0,68181,2846542.546,18914,62075.574,2905
202,78025.036,1724444.001,1214,40072,29323,1200123.581,57841,1598023.582,2836
203,766939.121,0,16845,0,46168,1967062.702,41034,700605.102,2798
204,293798.317,5839.102,7933,161,53940,2255021.917,33300,388169.467,2760
205,162507.452,0,4701,0,58641,2417529.368,28643,240785.069,2716
206,114721.152,512326.149,3144,11540,50245,2019924.371,37073,621719.944,2682
207,303370.123,0,7055,0,57300,2323294.494,30043,306422.827,2657
208,147492.023,0,3806,0,61106,2470786.516,26279,185588.522,2615
209,103593.68,362082.041,2562,8607,55061,2212298.156,32359,450415.826,2580
210,224800.968,0,5351,0,60412,2437099.124,27049,235634.275,2539
211,128429.214,0,3181,0,63593,2565528.339,23913,144053.633,2494
212,96831.141,2486.819,2189,57,65725,2659872.66,21833,98648.266,2442
213,84888.96,1633807.656,1654,39553,27826,1110953.964,59794,1540046.37,2380
214,694565.422,5338.186,16019,137,43708,1800181.2,43941,724106.679,2351
215,287154.927,0,8053,0,51761,2087336.127,35921,408249.084,2318
216,163057.845,185.87,5018,7,56772,2250208.102,30942,256294.614,2286
217,115754.299,41.651,3386,1,60157,2365920.75,27589,171720.339,2254
218,92587.581,5084.026,2422,140,62439,2453424.304,25344,126693.348,2217
219,85079.694,9084.07,1994,239,64194,2529419.929,23629,99558.982,2177
220,80800.419,5.003,1668,1,65861,2610215.345,22002,73001.167,2137
221,76132.208,0,1440,0,67301,2686347.553,20601,55429.842,2098
222,73621.315,0,1169,0,68470,2759968.868,19477,43566.543,2053
223,73164.175,0,1008,0,69478,2833133.043,18514,34515.714,2008
224,72789.735,0,987,0,70465,2905922.778,17574,27752.408,1961
225,72680.153,2192715.635,819,51998,19286,785887.296,68792,1996206.086,1922
226,923592.006,0,20706,0,39992,1709479.302,48099,892279.471,1909
227,353395.663,0,9835,0,49827,2062874.965,38293,489647.861,1880
228,190014.998,823.536,5741,28,55540,2252066.427,32618,301236.259,1842
229,127429.842,16.366,3853,1,59392,2379479.903,28792,199237.52,1816
230,100124.979,402.315,2821,13,62200,2479202.568,26019,138942.872,1781
231,87002.247,0,2171,0,64371,2566204.814,23868,100246.338,1761
232,79120.653,0,1669,0,66040,2645325.468,22219,75472.051,1741
233,75766.341,494262.286,1387,11764,55663,2226829.523,32624,503034.563,1713
234,257266.193,19.369,5649,1,61311,2484076.347,27006,251145.345,1683
235,139830.598,0,3203,0,64514,2623906.946,23821,147511.212,1665
236,101699.373,0,2233,0,66747,2725606.318,21621,95574.718,1632
237,84768.252,767.358,1550,20,68277,2809607.212,20119,68686.617,1604
238,79513.105,1938792.497,1287,45435,24129,950327.82,64305,1795495.097,1566
239,837118,0,18611,0,42740,1787445.82,45711,802956.588,1549
240,326244.886,5457.405,9062,143,51659,2108233.301,36807,444067.707,1534
241,176665.222,15898.599,5340,395,56604,2268999.925,31894,288963.453,1502
242,129017.667,22344.785,3760,514,59850,2375672.807,28666,207763.747,1484
243,108339.462,9.001,2908,1,62757,2484003.267,25778,138506.012,1465
244,88503.168,0,2091,0,64848,2572506.435,23701,98909.243,1451
245,80374.068,277290.844,1686,6837,59697,2375589.659,28872,323054.01,1431
246,178322.248,0,3932,0,63629,2553911.907,24966,172123.361,1405
247,110120.699,588628.232,2382,13702,52309,2075404.374,36312,638184.735,1379
