Step,mass_grown,mass_burnt,trees_grown,trees_burnt,trees_count,trees_mass,ashes_count,ashes_mass,empty_count
100,222316.61,0,9679,0,68100,1692940.069,21882,297404.315,18
101,160799.022,111.979,6574,7,74667,1853627.112,15316,175065.643,17
102,126401.733,0,4377,0,79044,1980028.845,10940,105824.345,16
103,109419.086,9.488,3052,1,82095,2089438.443,7889,64875.363,16
104,100105.734,454276.275,2169,15558,68706,1735267.902,21279,449225.74,15
105,220891.484,810644.302,6660,30465,44901,1145515.084,45087,981697.555,12
106,357646.613,1834.284,13581,75,58407,1501327.413,31581,572433.042,12
107,242153.131,0,9602,0,68009,1743480.544,21979,331443.606,12
108,172475,0,6612,0,74621,1915955.544,15367,193833.246,12
109,133134.835,412579.086,4496,14509,64608,1636511.293,25380,487257.264,12
110,219831.38,0,7571,0,72179,1856342.673,17810,283308.157,11
111,164896.388,0,5457,0,77636,2021239.061,12354,162259.954,10
112,129904.515,585662.226,3731,21474,59893,1565481.35,30099,620861.447,8
113,253732.81,0,8827,0,68720,1819214.16,21274,364935.492,6
114,185432.678,0,6380,0,75100,2004646.838,14894,211729.265,6
115,141977.395,2.848,4465,1,79564,2146621.384,10430,123681.507,6
116,116361.761,1138124.015,2984,37662,44886,1124859.129,45109,1098827.21,5
117,413516.438,56910.785,14386,2169,57103,1481464.782,32893,671533.757,4
118,293216.484,0,10986,0,68089,1774681.266,21907,368266.898,4
119,196943.622,7019.65,7241,287,75043,1964605.238,14953,208903.271,4
120,144213.812,0,4753,0,79796,2108819.05,10200,118842.132,4
121,116967.565,0,3082,0,82878,2225786.615,7118,69786.354,4
122,103874.05,0,2060,0,84938,2329660.665,5058,41811.669,4
123,97043.157,0,1434,0,86372,2426703.822,3624,25525.345,4
124,93388.611,0,981,0,87353,2520092.432,2643,15956.2,4
125,91761.359,2334634.395,753,77471,10635,277219.397,79362,2111123.176,3
126,721204.005,0,25661,0,36296,998423.402,53702,1189441.853,2
127,466076.607,0,18806,0,55102,1464500.009,34896,640717.061,2
128,284201.911,406.693,12148,17,67233,1748295.227,22765,347911.468,2
129,186596.027,0,7637,0,74870,1934891.253,15128,193757.294,2
130,138075.356,77953.612,4807,2737,76940,1995012.998,13058,181334.459,2
131,133311.219,0,4004,0,80944,2128324.217,9055,106829.794,1
132,113453.136,0,2743,0,83687,2241777.353,6312,63637.678,1
133,102381.886,0,1814,0,85501,2344159.24,4498,38579.024,1
134,97211.565,2071595.022,1336,72343,14494,369775.783,75506,1887446.077,0
135,623201.695,0,23305,0,37799,992977.477,52201,1089993.774,0
136,403466.36,0,16908,0,54707,1396443.837,35293,615327.037,0
137,261776.625,841.881,11591,36,66262,1657378.581,23738,347482.401,0
138,177890.843,0,7492,0,73754,1835269.424,16246,201105.318,0
139,136740.783,0,4977,0,78731,1972010.207,11269,118008.004,0
140,113418.173,6513.982,3268,254,81745,2078914.398,8255,77382.614,0
141,104604.572,0,2398,0,84143,2183518.97,5857,46784.78,0
142,96996.244,518.112,1610,23,85730,2279997.102,4270,29719.359,0
